date,target_bitcoin_change_volatility_next
2014-09-17,0.0
2014-09-18,
2014-09-19,
2014-09-20,
2014-09-21,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-27,
2014-09-28,
2014-09-29,
2014-09-30,
2014-10-01,
2014-10-02,
2014-10-03,
2014-10-04,
2014-10-05,
2014-10-06,
2014-10-07,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-11,
2014-10-12,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-18,-4.972292641515308
2014-10-19,-6.350519037379476
2014-10-20,-1.5103656839857482
2014-10-21,-0.6122391691303686
2014-10-22,-0.0584064777795267
2014-10-23,-4.787477021194697
2014-10-24,-0.823042922094186
2014-10-25,0.2774239024514235
2014-10-26,0.8610541954746198
2014-10-27,-0.1009355022483227
2014-10-28,-4.4799729201150384
2014-10-29,6.311059071432568
2014-10-30,-0.1625724345867829
2014-10-31,0.3882137613613778
2014-11-01,1.2191648545751388
2014-11-02,-2.2268957363056674
2014-11-03,-12.85559078147902
2014-11-04,-1.288317690093499
2014-11-05,-0.2991331596880586
2014-11-06,0.9688656327436096
2014-11-07,-4.212530357559119
2014-11-08,-2.6234607861966186
2014-11-09,5.95864700212525
2014-11-10,0.1982291522944823
2014-11-11,-4.279340792885911
2014-11-12,37.37171623175517
2014-11-13,-0.6380024600951772
2014-11-14,3.6909819706231417
2014-11-15,2.4884342544789773
2014-11-16,1.0473491627930098
2014-11-17,-0.4292620793335033
2014-11-18,1.0528635427386135
2014-11-19,-0.0587858198158985
2014-11-20,3.721947363218359
2014-11-21,0.2551799161550239
2014-11-22,-4.265624631630526
2014-11-23,1.7769138180267596
2014-11-24,-0.5914618326630094
2014-11-25,-0.336339806996766
2014-11-26,0.4017120971811172
2014-11-27,-0.1421704950378077
2014-11-28,-4.498649124959675
2014-11-29,-0.7078467070790184
2014-11-30,-0.6537319022165256
2014-12-01,-2.1716819814637023
2014-12-02,-0.0278465815445883
2014-12-03,0.5826904862898941
2014-12-04,0.4027592679396896
2014-12-05,-0.3587066012594397
2014-12-06,-0.7265075771687224
2014-12-07,-0.6404866803648823
2014-12-08,1.7809074246019518
2014-12-09,-2.1707844428942136
2014-12-10,0.1305533353269661
2014-12-11,0.2199438299894884
2014-12-12,-32.03580482336166
2014-12-13,0.1999343202054859
2014-12-14,-6.482855090755157
2014-12-15,-8.406557767619116
2014-12-16,4.726603900481829
2014-12-17,0.8493388045862194
2014-12-18,-0.8515361742229555
2014-12-19,1.01065071764872
2014-12-20,-5.274553825076112
2014-12-21,1.2955949151225663
2014-12-22,4.468683170064591
2014-12-23,-6.070256212195668
2014-12-24,0.7588095834114128
2014-12-25,0.1155085089908691
2014-12-26,3.077868855766419
2014-12-27,3.509222659001221
2014-12-28,-1.5256048989358506
