date,tweet_count,neg,neu,pos,nlp_tweet_count,not_polarized,polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,tesla,tsla,stock,market,price,profit,loss,revenue,inflation,interest,bitcoin,dogecoin,crypto,ethereum,spacex,model,cybertruck,starship,buy,sell,arts_&_culture,business_&_entrepreneurs,celebrity_&_pop_culture,diaries_&_daily_life,family,fashion_&_style,film_tv_&_video,fitness_&_health,food_&_dining,gaming,learning_&_educational,music,news_&_social_concern,other_hobbies,relationships,science_&_technology,sports,travel_&_adventure,youth_&_student_life
2015-01-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,0.0126582278481012,0.020146377,0.92684734,0.0530063,0.0078125,1.0,0.0,0.011030527,0.0045365687,0.11075514,0.00952352,0.7580172,0.021057744,0.08507936,0.51256955,0.5298259,0.4249512,0.28953707,0.5399114,,,,,,,,,,,,,,,,,,,,,0.0015330309,0.0053537595,0.0047381422,0.04139893,0.0005398282,0.00040420363,0.009823842,0.00047631457,0.00069605885,0.0015422348,0.0038575712,0.0015509024,0.79690987,0.011698197,0.0011169047,0.104953244,0.0024315554,0.009344158,0.0016312412
2015-01-06,0.0253164556962025,0.16163254,0.7876316,0.0507358,0.015625,1.0,0.0,0.08022463,0.012288083,0.32226726,0.0060438216,0.41183892,0.019573888,0.14776339,0.47594938,0.56023407,0.43640503,0.28502658,0.51075226,,,,,,,,,,,,,,,,,,,,,0.0026464707,0.004238691,0.0059321057,0.042632658,0.00091980846,0.00031847542,0.006809078,0.0010565866,0.0006832275,0.001021426,0.004372408,0.0018154378,0.62443596,0.008708784,0.0018025176,0.28197163,0.0058484394,0.0031724127,0.0016138876
2015-01-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10,0.0886075949367088,0.088290714,0.35520893,0.5565003,0.1015625,0.4285714285714285,0.5714285714285714,0.0117445905,0.01796256,0.045057468,0.09678913,0.6232095,0.08270918,0.12252761,0.4886094,0.53933924,0.4741405,0.31660986,0.49514803,,,,,,,,,,,,,,,,,,,,,0.008796578,0.038473878,0.0069176643,0.1893332,0.00154329,0.0021219386,0.07239658,0.001818299,0.0025078305,0.00919192,0.011615143,0.022415688,0.21848032,0.045593206,0.0028269493,0.3100206,0.011980622,0.0412567,0.0027095985
2015-01-11,0.0063291139240506,0.006166985,0.4088182,0.5850149,0.0,1.0,0.0,0.058678146,0.013213151,0.053314876,0.026049465,0.8077854,0.0085928375,0.0323662,0.6076623,0.5853457,0.3845518,0.23282261,0.5924913,,,,,,,,,,,,,,,,,,,,,0.0003452081,0.021637274,0.00081928744,0.0008583054,0.00030286433,0.00024244272,0.001516122,0.0012103261,0.00066347787,0.0006208422,0.0051073493,0.00057971536,0.067495935,0.0011247152,0.00036538334,0.8939697,0.0008271432,0.0009376216,0.0013762569
2015-01-12,0.0063291139240506,0.0017071393,0.28813672,0.71015614,0.0,0.0,1.0,0.019790122,0.008972807,0.10763295,0.05977531,0.4590758,0.29504097,0.049712095,0.5153121,0.55747,0.40589508,0.2662592,0.54195786,,,,,,,,,,,,,,,,,,,,,0.014892795,0.0062634083,0.010204388,0.018898953,0.00219711,0.001488711,0.012717238,0.0021968584,0.0017495035,0.004553714,0.0293261,0.012858981,0.10465707,0.016331146,0.0026061535,0.7133918,0.0036773689,0.03594509,0.006043675
2015-01-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,0.0253164556962025,0.06078937,0.6900208,0.24918982,0.0234375,1.0,0.0,0.007236572,0.0026237734,0.0072724395,0.2949396,0.6330409,0.0072977524,0.047588997,0.54215795,0.5549096,0.44086546,0.30305684,0.5359992,,,,,,,,,,,,,,,,,,,,,0.0054969233,0.033540003,0.0042025633,0.025639426,0.0029983702,0.0018061528,0.030876577,0.002570795,0.0036508073,0.008463045,0.061017703,0.0023423457,0.10463316,0.013830448,0.0017225009,0.57496864,0.044001516,0.044323966,0.03391507
2015-01-16,0.050632911392405,0.28873414,0.43419424,0.27707165,0.046875,0.7142857142857143,0.2857142857142857,0.216185,0.037097197,0.021416053,0.06666618,0.42266336,0.12138939,0.114582844,0.512281,0.5365873,0.45331055,0.3027924,0.52353114,,,,,,,,,,,,,,,,,,,,,0.006460983,0.032896955,0.0056598047,0.031676747,0.0006289216,0.0015693778,0.16264728,0.0007836205,0.0009904654,0.027361693,0.0074377805,0.00789343,0.35157117,0.037756544,0.0010361837,0.16160135,0.15418412,0.006105557,0.0017380028
2015-01-17,0.0063291139240506,0.013938238,0.20922218,0.7768396,0.0,0.0,1.0,0.43640408,0.06669641,0.06442176,0.09873199,0.18439682,0.04028623,0.109062776,0.31820193,0.5455935,0.4609726,0.32269672,0.41858336,,,,,,,,,,,,,,,,,,,,,0.039774634,0.01800169,0.03585226,0.12934841,0.0073009436,0.003719724,0.14999379,0.0032631573,0.022219932,0.039555818,0.023279872,0.07930956,0.06722569,0.04026765,0.006901585,0.019682989,0.28760982,0.019683346,0.0070091663
2015-01-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,0.0063291139240506,0.005157755,0.08509391,0.9097484,0.0,0.0,1.0,0.012946343,0.0066881115,0.009969187,0.028745633,0.04648132,0.014604381,0.88056505,0.49361187,0.55465496,0.4306427,0.3082911,0.50494534,,,,,,,,,,,,,,,,,,,,,0.078439236,0.0074557904,0.011440876,0.6667921,0.0058989353,0.0016785907,0.009052262,0.0009042933,0.0019209763,0.0015750789,0.013237904,0.014006006,0.02374566,0.13237152,0.013738485,0.0047878125,0.002381488,0.0073207044,0.003252415
