feature,importance
binary__is_trading_day,0.09139784946236562
counts__sp500_stockprice_bb_upper_20,0.010752688172043001
counts__sp500_obv,0.010752688172043001
scores__gaming,0.005376344086021501
counts__sp500_volatility,0.005376344086021501
scores__joy,0.005376344086021501
scores__anger,0.005376344086021501
counts__retweetCount,0.005376344086021501
scores__film_tv_video,0.005376344086021501
counts__replyCount,0.005376344086021501
counts__model,0.005376344086021501
scores__fitness_&_health,0.005376344086021501
scores__family,0.005376344086021501
counts__market,0.0
scores__Neuroticism,0.0
scores__Openness,0.0
scores__pos,0.0
scores__celebrity_pop_culture,0.0
counts__inflation,0.0
counts__crypto,0.0
counts__bitcoin,0.0
counts__interest,0.0
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__price,0.0
counts__stock,0.0
counts__ethereum,0.0
counts__sp500_stockprice_sma_20,0.0
counts__cybertruck,0.0
counts__starship,0.0
counts__sp500_stockprice_bb_mean_20,0.0
scores__travel_adventure,0.0
scores__diaries_daily_life,0.0
scores__music,0.0
scores__learning_educational,0.0
counts__dogecoin,-0.005376344086021501
counts__tesla,-0.005376344086021501
scores__Conscientiousness,-0.005376344086021501
scores__news_social_concern,-0.005376344086021501
scores__arts_culture,-0.005376344086021501
scores__fear,-0.005376344086021501
scores__surprise,-0.005376344086021501
counts__sp500_stockprice_rsi_14,-0.005376344086021501
counts__sp500_volatility_std_10,-0.005376344086021501
scores__sports,-0.005376344086021501
scores__relationships,-0.005376344086021501
scores__fashion_style,-0.005376344086021501
binary__no_tweets,-0.010752688172043001
scores__other_hobbies,-0.010752688172043001
counts__sell,-0.010752688172043001
scores__Agreeableness,-0.010752688172043001
scores__youth_student_life,-0.010752688172043001
scores__science_technology,-0.010752688172043001
counts__spacex,-0.010752688172043001
scores__polarized,-0.010752688172043001
scores__neg,-0.010752688172043001
counts__tweet_count,-0.016129032258064502
counts__nlp_tweet_count,-0.016129032258064502
counts__sp500_adx_14,-0.016129032258064502
counts__buy,-0.016129032258064502
counts__sp500_stockprice_bb_lower_20,-0.016129032258064502
scores__Extroversion,-0.016129032258064502
counts__sp500_volume_spike_20,-0.016129032258064502
scores__disgust,-0.016129032258064502
scores__neutral,-0.016129032258064502
scores__food_&_dining,-0.016129032258064502
counts__sp500_volume,-0.021505376344086002
counts__sp500_stockprice_ema_26,-0.021505376344086002
counts__sp500_stockprice_momentum_21,-0.021505376344086002
scores__sadness,-0.021505376344086002
counts__sp500_avg_volume_20,-0.021505376344086002
counts__sp500_stockprice,-0.026881720430107503
scores__neu,-0.026881720430107503
counts__sp500_stockprice_macd_line,-0.032258064516129004
counts__likeCount,-0.037634408602150504
scores__business_entrepreneurs,-0.037634408602150504
counts__quoteCount,-0.053763440860215006
