feature,importance
binary__is_trading_day,0.037414965986394544
counts__replyCount,0.015306122448979553
counts__retweetCount,0.015306122448979553
counts__starship,0.013605442176870708
scores__celebrity_pop_culture,0.013605442176870708
counts__interest,0.011904761904761862
counts__inflation,0.011904761904761862
counts__stock,0.006802721088435326
counts__profit,0.006802721088435326
counts__sell,0.005102040816326536
counts__model,0.005102040816326536
scores__Conscientiousness,0.005102040816326536
scores__diaries_daily_life,0.003401360544217691
scores__news_social_concern,0.003401360544217691
scores__neutral,0.0017006802721088454
counts__revenue,0.0017006802721088454
scores__music,0.0017006802721088454
scores__fitness_&_health,0.0017006802721088454
counts__tesla_stockprice_ema_26,0.0017006802721088454
counts__tesla_obv,0.0017006802721088454
counts__buy,0.0017006802721088454
counts__bitcoin,0.0017006802721088454
counts__dogecoin,0.0017006802721088454
counts__tesla_volume,0.0017006802721088454
scores__arts_culture,0.0
scores__Neuroticism,0.0
counts__price,0.0
counts__loss,0.0
counts__tweet_count,0.0
scores__fashion_style,0.0
counts__tesla_stockprice_bb_mean_20,0.0
counts__ethereum,0.0
counts__spacex,0.0
scores__neu,0.0
scores__gaming,0.0
binary__no_tweets,0.0
scores__sports,0.0
scores__family,0.0
counts__tesla_stockprice_momentum_21,0.0
counts__cybertruck,0.0
counts__crypto,-0.0017006802721088454
counts__nlp_tweet_count,-0.0017006802721088454
scores__youth_student_life,-0.0017006802721088454
scores__relationships,-0.0017006802721088454
counts__tesla_volatility_std_10,-0.0017006802721088454
counts__likeCount,-0.0017006802721088454
scores__Openness,-0.0017006802721088454
counts__tesla_stockprice_bb_upper_20,-0.0017006802721088454
scores__food_&_dining,-0.0017006802721088454
scores__business_entrepreneurs,-0.0017006802721088454
scores__joy,-0.0017006802721088454
scores__Agreeableness,-0.003401360544217691
scores__science_technology,-0.003401360544217691
scores__learning_educational,-0.003401360544217691
counts__tesla_stockprice_rsi_14,-0.003401360544217691
scores__film_tv_video,-0.003401360544217691
scores__fear,-0.003401360544217691
scores__pos,-0.003401360544217691
counts__tesla_avg_volume_20,-0.005102040816326536
scores__other_hobbies,-0.005102040816326536
counts__tesla_volume_spike_20,-0.005102040816326536
counts__tesla_stockprice_bb_lower_20,-0.005102040816326536
scores__travel_adventure,-0.005102040816326536
counts__market,-0.006802721088435382
counts__tesla_volatility,-0.006802721088435382
scores__disgust,-0.006802721088435382
counts__tesla_stockprice,-0.006802721088435382
scores__neg,-0.006802721088435382
scores__Extroversion,-0.008503401360544227
counts__tesla_adx_14,-0.008503401360544227
counts__tesla_stockprice_sma_20,-0.008503401360544227
scores__sadness,-0.008503401360544227
counts__tesla,-0.010204081632653073
counts__tesla_stockprice_macd_line,-0.010204081632653073
scores__anger,-0.010204081632653073
scores__polarized,-0.010204081632653073
scores__surprise,-0.010204081632653073
counts__quoteCount,-0.015306122448979609
