feature,importance
binary__is_trading_day,0.04931972789115646
counts__quoteCount,0.04591836734693877
counts__interest,0.022108843537415046
counts__market,0.018707482993197355
counts__nlp_tweet_count,0.017006802721088454
counts__inflation,0.013605442176870763
counts__loss,0.010204081632653073
counts__tesla_stockprice_momentum_21,0.008503401360544283
counts__tweet_count,0.008503401360544283
scores__Openness,0.006802721088435382
counts__sell,0.005102040816326592
scores__Agreeableness,0.005102040816326592
counts__starship,0.005102040816326592
counts__tesla_volatility,0.005102040816326592
scores__learning_educational,0.005102040816326592
counts__likeCount,0.003401360544217691
counts__retweetCount,0.003401360544217691
scores__youth_student_life,0.003401360544217691
scores__celebrity_pop_culture,0.003401360544217691
counts__tesla_volatility_std_10,0.003401360544217691
counts__bitcoin,0.001700680272108901
counts__tesla,0.001700680272108901
scores__anger,0.001700680272108901
scores__Neuroticism,0.001700680272108901
scores__neutral,0.001700680272108901
scores__polarized,0.001700680272108901
counts__tesla_stockprice_sma_20,0.001700680272108901
counts__tesla_volume_spike_20,0.001700680272108901
counts__replyCount,0.001700680272108901
counts__buy,0.001700680272108901
counts__spacex,0.001700680272108901
scores__family,0.001700680272108901
scores__fitness_&_health,0.0
scores__sports,0.0
binary__no_tweets,0.0
counts__price,0.0
scores__food_&_dining,0.0
scores__gaming,0.0
scores__neg,0.0
counts__tesla_obv,0.0
counts__tesla_stockprice_macd_line,0.0
counts__tesla_avg_volume_20,0.0
counts__tesla_stockprice,0.0
counts__tesla_stockprice_bb_lower_20,0.0
scores__fashion_style,0.0
counts__ethereum,0.0
scores__neu,-0.00170068027210879
counts__tesla_volume,-0.00170068027210879
counts__profit,-0.00170068027210879
counts__crypto,-0.00170068027210879
counts__dogecoin,-0.00170068027210879
scores__film_tv_video,-0.00170068027210879
scores__disgust,-0.00170068027210879
scores__fear,-0.00170068027210879
scores__surprise,-0.00170068027210879
scores__sadness,-0.00170068027210879
scores__music,-0.00170068027210879
scores__science_technology,-0.00170068027210879
scores__arts_culture,-0.00170068027210879
scores__business_entrepreneurs,-0.003401360544217691
scores__relationships,-0.003401360544217691
counts__tesla_adx_14,-0.003401360544217691
counts__tesla_stockprice_ema_26,-0.005102040816326481
counts__tesla_stockprice_rsi_14,-0.005102040816326481
scores__Conscientiousness,-0.005102040816326481
scores__travel_adventure,-0.005102040816326481
counts__tesla_stockprice_bb_mean_20,-0.005102040816326481
scores__pos,-0.005102040816326481
scores__other_hobbies,-0.006802721088435382
counts__tesla_stockprice_bb_upper_20,-0.006802721088435382
scores__diaries_daily_life,-0.006802721088435382
scores__Extroversion,-0.006802721088435382
counts__model,-0.006802721088435382
scores__joy,-0.008503401360544172
scores__news_social_concern,-0.008503401360544172
counts__cybertruck,-0.010204081632653073
counts__stock,-0.011904761904761862
counts__revenue,-0.015306122448979553
