feature,importance
binary__is_trading_day,0.08799999999999997
counts__spacex,0.020000000000000018
counts__quoteCount,0.020000000000000018
counts__tesla_stockprice_rsi_14,0.016000000000000014
scores__neu,0.016000000000000014
counts__tesla_volume,0.01200000000000001
scores__Agreeableness,0.01200000000000001
scores__news_social_concern,0.01200000000000001
scores__learning_educational,0.008000000000000007
counts__tesla_stockprice_bb_mean_20,0.008000000000000007
scores__youth_student_life,0.008000000000000007
scores__science_technology,0.008000000000000007
scores__travel_adventure,0.008000000000000007
scores__disgust,0.008000000000000007
counts__tesla_volatility,0.008000000000000007
counts__tesla_stockprice_macd_line,0.0040000000000000036
scores__anger,0.0040000000000000036
scores__polarized,0.0040000000000000036
counts__model,0.0040000000000000036
counts__ethereum,0.0040000000000000036
scores__pos,0.0040000000000000036
scores__fitness_&_health,0.0040000000000000036
counts__loss,0.0040000000000000036
counts__revenue,0.0040000000000000036
counts__inflation,0.0040000000000000036
counts__dogecoin,0.0040000000000000036
scores__sports,0.0040000000000000036
counts__tesla,0.0040000000000000036
counts__replyCount,0.0040000000000000036
counts__market,0.0
scores__film_tv_video,0.0
scores__relationships,0.0
binary__no_tweets,0.0
scores__music,0.0
scores__business_entrepreneurs,0.0
scores__food_&_dining,0.0
counts__interest,0.0
counts__profit,0.0
counts__tesla_obv,0.0
scores__Neuroticism,0.0
scores__Conscientiousness,0.0
scores__arts_culture,0.0
scores__sadness,0.0
counts__cybertruck,0.0
counts__sell,0.0
counts__nlp_tweet_count,-0.0040000000000000036
counts__buy,-0.0040000000000000036
counts__tesla_avg_volume_20,-0.0040000000000000036
counts__price,-0.0040000000000000036
counts__bitcoin,-0.0040000000000000036
counts__stock,-0.0040000000000000036
scores__family,-0.0040000000000000036
scores__celebrity_pop_culture,-0.0040000000000000036
scores__diaries_daily_life,-0.0040000000000000036
counts__tesla_stockprice,-0.0040000000000000036
scores__Extroversion,-0.0040000000000000036
scores__neutral,-0.008000000000000007
counts__crypto,-0.008000000000000007
counts__retweetCount,-0.008000000000000007
counts__starship,-0.008000000000000007
counts__tesla_stockprice_bb_upper_20,-0.008000000000000007
counts__tesla_volume_spike_20,-0.008000000000000007
scores__other_hobbies,-0.008000000000000007
scores__Openness,-0.008000000000000007
scores__surprise,-0.008000000000000007
scores__joy,-0.008000000000000007
counts__tesla_stockprice_ema_26,-0.008000000000000007
scores__gaming,-0.008000000000000007
counts__tesla_stockprice_sma_20,-0.008000000000000007
counts__tesla_adx_14,-0.01200000000000001
scores__fashion_style,-0.01200000000000001
counts__tesla_stockprice_bb_lower_20,-0.01200000000000001
scores__neg,-0.01200000000000001
counts__tesla_volatility_std_10,-0.016000000000000014
scores__fear,-0.016000000000000014
counts__tesla_stockprice_momentum_21,-0.020000000000000018
counts__tweet_count,-0.02400000000000002
counts__likeCount,-0.02400000000000002
