feature,importance
binary__is_trading_day,0.022108843537415046
counts__tesla_volume_spike_20,0.008503401360544283
counts__crypto,0.006802721088435382
scores__neg,0.003401360544217691
counts__cybertruck,0.001700680272108901
counts__profit,0.001700680272108901
scores__neutral,0.001700680272108901
scores__Neuroticism,0.001700680272108901
counts__tesla_volume,0.001700680272108901
scores__pos,0.001700680272108901
scores__arts_culture,0.001700680272108901
scores__film_tv_video,0.001700680272108901
scores__fitness_&_health,0.001700680272108901
scores__Openness,0.0
scores__food_&_dining,0.0
scores__Extroversion,0.0
scores__fashion_style,0.0
scores__family,0.0
binary__no_tweets,0.0
scores__gaming,0.0
scores__relationships,0.0
scores__neu,0.0
scores__anger,0.0
scores__sadness,0.0
counts__ethereum,0.0
counts__bitcoin,-0.00170068027210879
counts__tesla_stockprice_bb_lower_20,-0.00170068027210879
counts__tesla_volatility,-0.00170068027210879
scores__learning_educational,-0.00170068027210879
scores__celebrity_pop_culture,-0.00170068027210879
scores__sports,-0.00170068027210879
scores__music,-0.00170068027210879
scores__surprise,-0.00340136054421758
scores__youth_student_life,-0.00340136054421758
scores__travel_adventure,-0.00340136054421758
scores__joy,-0.00340136054421758
scores__Conscientiousness,-0.00340136054421758
counts__tesla_obv,-0.00340136054421758
scores__fear,-0.00340136054421758
counts__tesla_stockprice,-0.00340136054421758
counts__buy,-0.00340136054421758
scores__science_technology,-0.00340136054421758
scores__other_hobbies,-0.005102040816326481
counts__dogecoin,-0.005102040816326481
counts__inflation,-0.005102040816326481
counts__tesla_stockprice_ema_26,-0.005102040816326481
scores__Agreeableness,-0.005102040816326481
counts__tesla_avg_volume_20,-0.005102040816326481
scores__business_entrepreneurs,-0.005102040816326481
counts__stock,-0.006802721088435271
counts__likeCount,-0.006802721088435271
scores__polarized,-0.006802721088435271
counts__tesla_adx_14,-0.006802721088435271
counts__tesla_stockprice_macd_line,-0.006802721088435271
scores__diaries_daily_life,-0.008503401360544172
scores__disgust,-0.008503401360544172
scores__news_social_concern,-0.008503401360544172
counts__tesla_stockprice_bb_mean_20,-0.010204081632652962
counts__tesla_volatility_std_10,-0.010204081632652962
counts__price,-0.010204081632652962
counts__loss,-0.010204081632652962
counts__interest,-0.011904761904761862
counts__tesla_stockprice_rsi_14,-0.011904761904761862
counts__model,-0.011904761904761862
counts__tesla_stockprice_sma_20,-0.011904761904761862
counts__replyCount,-0.011904761904761862
counts__nlp_tweet_count,-0.011904761904761862
counts__tesla_stockprice_momentum_21,-0.013605442176870652
counts__sell,-0.015306122448979553
counts__spacex,-0.015306122448979553
counts__tesla_stockprice_bb_upper_20,-0.015306122448979553
counts__revenue,-0.018707482993197244
counts__quoteCount,-0.023809523809523725
counts__starship,-0.025510204081632626
counts__tesla,-0.030612244897959107
counts__tweet_count,-0.03231292517006801
counts__market,-0.0340136054421768
counts__retweetCount,-0.06292517006802711
