feature,importance
counts__bitcoin_stockprice_bb_lower_20,0.010204081632653017
counts__bitcoin_stockprice_ema_26,0.003401360544217691
counts__bitcoin_stockprice_momentum_21,0.0
counts__bitcoin_stockprice,-0.005102040816326536
counts__bitcoin_avg_volume_20,-0.005102040816326536
counts__bitcoin_volatility_std_10,-0.005102040816326536
counts__bitcoin_stockprice_bb_upper_20,-0.006802721088435382
counts__bitcoin_stockprice_rsi_14,-0.006802721088435382
counts__bitcoin_stockprice_sma_20,-0.006802721088435382
counts__bitcoin_volatility,-0.010204081632653073
counts__bitcoin_volume,-0.010204081632653073
counts__bitcoin_stockprice_bb_mean_20,-0.013605442176870763
counts__bitcoin_obv,-0.017006802721088454
counts__bitcoin_adx_14,-0.022108843537414935
counts__bitcoin_stockprice_macd_line,-0.027210884353741527
counts__bitcoin_volume_spike_20,-0.03401360544217691
binary__is_trading_day,-0.0374149659863946
