feature,importance
counts__bitcoin_volume_spike_20,0.043999999999999984
counts__bitcoin_stockprice_bb_lower_20,0.019999999999999962
counts__bitcoin_stockprice_bb_mean_20,0.019999999999999962
counts__bitcoin_stockprice_ema_26,0.01200000000000001
counts__bitcoin_stockprice,0.008000000000000007
counts__bitcoin_volatility_std_10,0.008000000000000007
counts__bitcoin_stockprice_momentum_21,0.008000000000000007
binary__is_trading_day,0.0040000000000000036
counts__bitcoin_volatility,0.0
counts__bitcoin_stockprice_bb_upper_20,0.0
counts__bitcoin_stockprice_rsi_14,0.0
counts__bitcoin_stockprice_sma_20,0.0
counts__bitcoin_volume,-0.0040000000000000036
counts__bitcoin_stockprice_macd_line,-0.0040000000000000036
counts__bitcoin_avg_volume_20,-0.0040000000000000036
counts__bitcoin_obv,-0.008000000000000007
counts__bitcoin_adx_14,-0.01200000000000001
