feature,importance
counts__bitcoin_adx_14,0.12587412587412594
counts__bitcoin_stockprice_bb_mean_20,0.04895104895104896
counts__bitcoin_stockprice_macd_line,0.04195804195804198
counts__bitcoin_stockprice_rsi_14,0.027972027972028024
counts__bitcoin_obv,0.020979020979021046
binary__is_trading_day,0.020979020979021046
counts__bitcoin_stockprice_bb_upper_20,0.013986013986014068
counts__bitcoin_volume_spike_20,0.013986013986014068
counts__bitcoin_volatility_std_10,0.013986013986014068
counts__bitcoin_stockprice,0.006993006993007089
counts__bitcoin_avg_volume_20,0.006993006993007089
counts__bitcoin_stockprice_bb_lower_20,0.006993006993007089
counts__bitcoin_stockprice_momentum_21,0.006993006993007089
counts__bitcoin_volatility,0.0
counts__bitcoin_stockprice_ema_26,0.0
counts__bitcoin_stockprice_sma_20,-0.006993006993006978
counts__bitcoin_volume,-0.006993006993006978
