feature,importance
counts__bitcoin_volume_spike_20,0.10204081632653061
binary__is_trading_day,0.056122448979591844
counts__bitcoin_volume,0.013605442176870652
counts__bitcoin_stockprice_momentum_21,0.008503401360544172
counts__bitcoin_stockprice_macd_line,0.008503401360544172
counts__bitcoin_volatility,0.008503401360544172
counts__bitcoin_avg_volume_20,0.006802721088435382
counts__bitcoin_volatility_std_10,0.006802721088435382
counts__bitcoin_stockprice_sma_20,0.005102040816326481
counts__bitcoin_stockprice_bb_lower_20,0.00170068027210879
counts__bitcoin_stockprice_bb_mean_20,0.00170068027210879
counts__bitcoin_obv,0.0
counts__bitcoin_stockprice_ema_26,0.0
counts__bitcoin_stockprice_rsi_14,0.0
counts__bitcoin_stockprice_bb_upper_20,-0.003401360544217691
counts__bitcoin_adx_14,-0.005102040816326592
counts__bitcoin_stockprice,-0.010204081632653073
