feature,importance
counts__bitcoin_volume,0.034965034965035
binary__is_trading_day,0.034965034965035
counts__bitcoin_stockprice,0.013986013986014068
counts__bitcoin_adx_14,0.013986013986014068
counts__bitcoin_stockprice_ema_26,0.013986013986014068
counts__bitcoin_volatility,0.0
counts__bitcoin_stockprice_bb_mean_20,-0.006993006993006978
counts__bitcoin_stockprice_sma_20,-0.006993006993006978
counts__bitcoin_volume_spike_20,-0.006993006993006978
counts__bitcoin_stockprice_momentum_21,-0.006993006993006978
counts__bitcoin_stockprice_bb_lower_20,-0.013986013986013957
counts__bitcoin_volatility_std_10,-0.013986013986013957
counts__bitcoin_avg_volume_20,-0.013986013986013957
counts__bitcoin_stockprice_macd_line,-0.020979020979020935
counts__bitcoin_stockprice_rsi_14,-0.020979020979020935
counts__bitcoin_stockprice_bb_upper_20,-0.020979020979020935
counts__bitcoin_obv,-0.020979020979020935
