feature,importance
counts__profit,0.022443890274314204
counts__replyCount,0.022443890274314204
counts__sp500_stockprice_rsi_14,0.022443890274314204
counts__loss,0.017456359102244412
counts__likeCount,0.014962593516209488
scores__anger,0.012468827930174564
counts__sp500_volume,0.00997506234413964
scores__celebrity_pop_culture,0.00997506234413964
counts__model,0.00997506234413964
scores__neu,0.00997506234413964
scores__film_tv_video,0.00997506234413964
counts__price,0.007481296758104716
scores__other_hobbies,0.007481296758104716
counts__cybertruck,0.007481296758104716
counts__sp500_stockprice_ema_26,0.007481296758104716
scores__science_technology,0.007481296758104716
scores__family,0.004987531172069848
scores__Agreeableness,0.004987531172069848
scores__music,0.004987531172069848
counts__sp500_volume_spike_20,0.004987531172069848
counts__buy,0.004987531172069848
counts__spacex,0.004987531172069848
counts__dogecoin,0.004987531172069848
counts__market,0.004987531172069848
binary__is_trading_day,0.004987531172069848
counts__sp500_stockprice_sma_20,0.0024937655860348684
scores__business_entrepreneurs,0.0024937655860348684
scores__youth_student_life,0.0024937655860348684
scores__travel_adventure,0.0024937655860348684
scores__Neuroticism,0.0024937655860348684
counts__sp500_volatility,0.0024937655860348684
binary__no_tweets,0.0
scores__gaming,0.0
scores__fitness_&_health,0.0
scores__relationships,0.0
scores__diaries_daily_life,0.0
counts__ethereum,0.0
counts__crypto,0.0
counts__tweet_count,0.0
scores__learning_educational,0.0
scores__disgust,0.0
scores__fashion_style,0.0
counts__sp500_stockprice_momentum_21,0.0
scores__sadness,0.0
counts__sp500_avg_volume_20,0.0
counts__bitcoin,-0.0024937655860348684
scores__sports,-0.0024937655860348684
counts__sp500_stockprice_bb_upper_20,-0.0024937655860348684
counts__sp500_volatility_std_10,-0.0024937655860348684
counts__sell,-0.0024937655860348684
counts__sp500_stockprice_bb_lower_20,-0.0024937655860348684
scores__joy,-0.0024937655860348684
scores__neutral,-0.0024937655860348684
scores__food_&_dining,-0.0024937655860348684
scores__neg,-0.0024937655860348684
scores__surprise,-0.004987531172069848
counts__sp500_stockprice,-0.004987531172069848
counts__sp500_stockprice_macd_line,-0.004987531172069848
scores__Openness,-0.004987531172069848
counts__inflation,-0.004987531172069848
counts__sp500_obv,-0.004987531172069848
counts__nlp_tweet_count,-0.007481296758104716
counts__sp500_stockprice_bb_mean_20,-0.007481296758104716
scores__pos,-0.007481296758104716
scores__arts_culture,-0.007481296758104716
counts__interest,-0.009975062344139696
scores__fear,-0.009975062344139696
counts__quoteCount,-0.009975062344139696
counts__starship,-0.009975062344139696
counts__sp500_adx_14,-0.012468827930174564
scores__polarized,-0.012468827930174564
scores__news_social_concern,-0.014962593516209433
counts__stock,-0.014962593516209433
counts__tesla,-0.014962593516209433
scores__Conscientiousness,-0.014962593516209433
scores__Extroversion,-0.017456359102244412
counts__revenue,-0.02493765586034913
counts__retweetCount,-0.032418952618453845
