feature,importance
counts__profit,0.00997506234413964
counts__starship,0.004987531172069792
scores__travel_adventure,0.004987531172069792
counts__tesla_stockprice_momentum_21,0.002493765586034924
counts__sell,0.002493765586034924
counts__price,0.002493765586034924
scores__music,0.002493765586034924
scores__joy,0.002493765586034924
scores__Agreeableness,0.002493765586034924
scores__sadness,0.002493765586034924
scores__fitness_&_health,0.002493765586034924
scores__relationships,0.002493765586034924
counts__bitcoin,0.0
counts__dogecoin,0.0
scores__youth_student_life,0.0
binary__no_tweets,0.0
scores__Openness,0.0
scores__Neuroticism,0.0
scores__other_hobbies,0.0
scores__sports,0.0
scores__food_&_dining,0.0
scores__fashion_style,0.0
counts__tesla_stockprice_bb_lower_20,0.0
counts__crypto,0.0
scores__disgust,0.0
counts__ethereum,0.0
counts__tesla_stockprice_bb_upper_20,0.0
counts__tesla_adx_14,0.0
counts__stock,-0.002493765586034924
counts__loss,-0.002493765586034924
scores__science_technology,-0.002493765586034924
scores__celebrity_pop_culture,-0.002493765586034924
scores__gaming,-0.002493765586034924
scores__neu,-0.002493765586034924
counts__retweetCount,-0.002493765586034924
scores__family,-0.002493765586034924
counts__revenue,-0.002493765586034924
counts__cybertruck,-0.002493765586034924
counts__replyCount,-0.002493765586034924
scores__polarized,-0.002493765586034924
counts__tesla_obv,-0.002493765586034924
scores__neutral,-0.002493765586034924
scores__Extroversion,-0.002493765586034924
counts__inflation,-0.004987531172069848
counts__market,-0.004987531172069848
counts__tesla_stockprice_sma_20,-0.004987531172069848
scores__surprise,-0.004987531172069848
scores__learning_educational,-0.004987531172069848
scores__news_social_concern,-0.004987531172069848
scores__arts_culture,-0.004987531172069848
counts__tesla_stockprice,-0.004987531172069848
counts__buy,-0.004987531172069848
scores__diaries_daily_life,-0.004987531172069848
scores__fear,-0.004987531172069848
scores__neg,-0.004987531172069848
scores__pos,-0.004987531172069848
counts__tesla_stockprice_bb_mean_20,-0.004987531172069848
counts__tweet_count,-0.007481296758104772
scores__business_entrepreneurs,-0.007481296758104772
scores__Conscientiousness,-0.007481296758104772
scores__anger,-0.007481296758104772
counts__tesla_stockprice_ema_26,-0.007481296758104772
scores__film_tv_video,-0.007481296758104772
counts__tesla_volume,-0.007481296758104772
counts__model,-0.00997506234413964
counts__tesla_stockprice_macd_line,-0.00997506234413964
binary__is_trading_day,-0.00997506234413964
counts__spacex,-0.00997506234413964
counts__quoteCount,-0.00997506234413964
counts__nlp_tweet_count,-0.012468827930174564
counts__interest,-0.012468827930174564
counts__tesla,-0.012468827930174564
counts__tesla_avg_volume_20,-0.012468827930174564
counts__tesla_volume_spike_20,-0.012468827930174564
counts__tesla_stockprice_rsi_14,-0.014962593516209488
counts__tesla_volatility,-0.014962593516209488
counts__likeCount,-0.022443890274314204
counts__tesla_volatility_std_10,-0.024937655860349184
