feature,importance
scores__news_social_concern,0.023809523809523836
counts__tesla_stockprice_bb_lower_20,0.023809523809523836
counts__buy,0.015873015873015872
counts__tesla_stockprice_ema_26,0.015873015873015872
counts__price,0.015873015873015872
binary__is_trading_day,0.015873015873015872
scores__pos,0.015873015873015872
scores__surprise,0.015873015873015872
counts__sell,0.007936507936507964
scores__disgust,0.007936507936507964
scores__Agreeableness,0.007936507936507964
scores__business_entrepreneurs,0.007936507936507964
scores__Neuroticism,0.007936507936507964
scores__joy,0.007936507936507964
scores__travel_adventure,0.007936507936507964
scores__family,0.007936507936507964
scores__science_technology,0.007936507936507964
scores__fashion_style,0.007936507936507964
counts__tesla_volume,0.007936507936507964
scores__sadness,0.007936507936507964
scores__Conscientiousness,0.0
scores__fitness_&_health,0.0
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__market,0.0
counts__stock,0.0
counts__inflation,0.0
counts__bitcoin,0.0
counts__interest,0.0
binary__no_tweets,0.0
scores__sports,0.0
scores__relationships,0.0
scores__Openness,0.0
scores__fear,0.0
scores__anger,0.0
scores__neutral,0.0
counts__ethereum,0.0
counts__tesla_volume_spike_20,0.0
counts__tesla_stockprice_bb_mean_20,0.0
scores__polarized,0.0
counts__tesla_adx_14,0.0
counts__starship,0.0
counts__cybertruck,0.0
counts__tesla_stockprice,0.0
counts__model,0.0
scores__film_tv_video,0.0
scores__food_&_dining,0.0
scores__youth_student_life,-0.007936507936507908
counts__crypto,-0.007936507936507908
counts__dogecoin,-0.007936507936507908
scores__learning_educational,-0.007936507936507908
scores__celebrity_pop_culture,-0.007936507936507908
scores__Extroversion,-0.007936507936507908
scores__other_hobbies,-0.007936507936507908
scores__music,-0.007936507936507908
counts__tesla_volatility,-0.007936507936507908
counts__tesla_volatility_std_10,-0.007936507936507908
counts__tesla_avg_volume_20,-0.007936507936507908
counts__likeCount,-0.007936507936507908
counts__tesla_stockprice_sma_20,-0.007936507936507908
counts__tesla_obv,-0.007936507936507908
counts__tesla_stockprice_rsi_14,-0.015873015873015928
scores__diaries_daily_life,-0.015873015873015928
counts__nlp_tweet_count,-0.015873015873015928
counts__tesla_stockprice_macd_line,-0.015873015873015928
counts__spacex,-0.015873015873015928
scores__neu,-0.015873015873015928
counts__tesla_stockprice_momentum_21,-0.015873015873015928
counts__tesla_stockprice_bb_upper_20,-0.015873015873015928
scores__gaming,-0.015873015873015928
counts__tesla,-0.023809523809523836
counts__replyCount,-0.023809523809523836
counts__quoteCount,-0.023809523809523836
scores__arts_culture,-0.023809523809523836
counts__tweet_count,-0.031746031746031744
scores__neg,-0.031746031746031744
counts__retweetCount,-0.05555555555555558
