feature,importance
counts__bitcoin_stockprice,0.011508942
counts__bitcoin_volume,-0.00028133392
counts__bitcoin_volatility,-0.00082969666
counts__bitcoin_volatility_std_10,-0.0012140274
counts__bitcoin_avg_volume_20,-0.006303787
counts__bitcoin_volume_spike_20,0.00092983246
counts__bitcoin_stockprice_sma_20,-0.005803108
counts__bitcoin_stockprice_ema_26,0.009732246
counts__bitcoin_stockprice_macd_line,0.0012226105
counts__bitcoin_stockprice_rsi_14,-0.00029850006
counts__bitcoin_stockprice_bb_mean_20,0.007795334
counts__bitcoin_stockprice_bb_upper_20,0.0015192032
counts__bitcoin_stockprice_bb_lower_20,0.0027275085
counts__bitcoin_dx_14,-0.0059041977
counts__bitcoin_adx_14,-0.0035734177
counts__bitcoin_stoch_d_3,0.00019931793
counts__bitcoin_obv,-0.0033798218
counts__bitcoin_stockprice_momentum_21,0.0031404495
scores__business_entrepreneurs,0.011562347
scores__science_technology,-0.0019016266
binary__is_trading_day,0.00050640106
counts__tweet_count,0.0052480698
counts__nlp_tweet_count,-0.02895832
counts__tesla,-0.008372307
counts__stock,0.004640579
counts__market,-0.011396408
counts__price,-0.0046167374
counts__profit,0.009534836
counts__loss,-0.0023450851
counts__revenue,0.012604713
counts__inflation,-0.012295723
counts__interest,0.0027837753
counts__bitcoin,0.0020132065
counts__dogecoin,4.673004e-05
counts__crypto,-0.00075244904
counts__ethereum,0.0
counts__spacex,0.011544228
counts__model,-0.003293991
counts__cybertruck,-0.009833336
counts__starship,0.0060510635
counts__buy,0.0043964386
counts__sell,-0.0004968643
counts__likeCount,-0.020617485
counts__quoteCount,0.017960548
counts__retweetCount,-0.026068687
counts__replyCount,0.038747787
scores__neg,-0.08476448
scores__neu,-0.0010786057
scores__pos,-0.024383545
scores__anger,0.017100334
scores__disgust,-0.0017642975
scores__fear,-0.03463936
scores__joy,0.022766113
scores__neutral,0.003894806
scores__sadness,-0.0645895
scores__surprise,-0.05365944
scores__news_social_concern,-0.045783043
binary__no_tweets,0.00046539307
