feature,importance
counts__bitcoin_stockprice,0.024871826
counts__bitcoin_volume,0.032909393
counts__bitcoin_volatility,-0.017211914
counts__bitcoin_volatility_std_10,-0.0014801025
counts__bitcoin_avg_volume_20,0.03781128
counts__bitcoin_volume_spike_20,-0.00039672852
counts__bitcoin_stockprice_sma_20,0.058380127
counts__bitcoin_stockprice_ema_26,0.15922165
counts__bitcoin_stockprice_macd_line,0.0746994
counts__bitcoin_stockprice_rsi_14,0.012062073
counts__bitcoin_stockprice_bb_mean_20,-0.10725021
counts__bitcoin_stockprice_bb_upper_20,0.10441208
counts__bitcoin_stockprice_bb_lower_20,0.049236298
counts__bitcoin_dx_14,0.0004081726
counts__bitcoin_adx_14,-0.0033721924
counts__bitcoin_stoch_d_3,-0.008708954
counts__bitcoin_obv,-0.017467499
counts__bitcoin_stockprice_momentum_21,0.08855057
scores__business_entrepreneurs,0.007511139
scores__science_technology,0.028354645
binary__is_trading_day,0.009120941
counts__tweet_count,-0.0060539246
counts__nlp_tweet_count,-0.0076179504
counts__tesla,0.013851166
counts__stock,0.0
counts__market,0.0
counts__price,0.03938675
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,-0.051677704
counts__model,-0.009887695
counts__cybertruck,0.0
counts__starship,0.0
counts__buy,0.007160187
counts__sell,0.0169487
counts__likeCount,-0.06216812
counts__quoteCount,0.18587875
counts__retweetCount,0.0043792725
counts__replyCount,0.14016724
scores__neg,-0.010440826
scores__neu,-0.0015068054
scores__pos,0.269516
scores__anger,-0.023975372
scores__disgust,0.06544495
scores__fear,0.022884369
scores__joy,-0.044761658
scores__neutral,0.08868408
scores__sadness,-0.034015656
scores__surprise,0.26591873
scores__news_social_concern,0.3007965
binary__no_tweets,-0.09046936
