feature,importance
counts__bitcoin_stockprice,0.016443253
counts__bitcoin_volume,-0.0090408325
counts__bitcoin_volatility,0.16571045
counts__bitcoin_volatility_std_10,0.0005264282
counts__bitcoin_avg_volume_20,0.003490448
counts__bitcoin_volume_spike_20,0.011211395
counts__bitcoin_stockprice_sma_20,-0.0027656555
counts__bitcoin_stockprice_ema_26,-0.034029007
counts__bitcoin_stockprice_macd_line,-0.062108994
counts__bitcoin_stockprice_rsi_14,-0.018054962
counts__bitcoin_stockprice_bb_mean_20,0.07627106
counts__bitcoin_stockprice_bb_upper_20,-0.050693512
counts__bitcoin_stockprice_bb_lower_20,-0.003932953
counts__bitcoin_dx_14,0.44104576
counts__bitcoin_adx_14,-0.19065666
counts__bitcoin_stoch_d_3,-0.028360367
counts__bitcoin_obv,-0.03008461
counts__bitcoin_stockprice_momentum_21,0.007707596
scores__business_entrepreneurs,0.043058395
scores__science_technology,0.06463623
binary__is_trading_day,0.3938961
counts__tweet_count,0.30728912
counts__nlp_tweet_count,-0.04554367
counts__tesla,0.066036224
counts__stock,-0.032289505
counts__market,-0.0019302368
counts__price,-0.0037002563
counts__profit,0.019180298
counts__loss,-0.0048980713
counts__revenue,-0.018920898
counts__inflation,0.0017166138
counts__interest,-0.056253433
counts__bitcoin,0.01612854
counts__dogecoin,0.0065841675
counts__crypto,0.010576248
counts__ethereum,0.0
counts__spacex,-0.118270874
counts__model,-0.0055561066
counts__cybertruck,-0.024414062
counts__starship,-0.01329422
counts__buy,-0.0007305145
counts__sell,-0.0052318573
counts__likeCount,-0.07427025
counts__quoteCount,-0.10458946
counts__retweetCount,0.34254456
counts__replyCount,-0.1881237
scores__neg,-0.033031464
scores__neu,-0.04859543
scores__pos,0.14550781
scores__anger,-0.25421715
scores__disgust,-0.0153923035
scores__fear,0.007833481
scores__joy,-0.025951385
scores__neutral,-0.03544998
scores__sadness,-0.092933655
scores__surprise,-0.07147217
scores__news_social_concern,0.3098507
binary__no_tweets,0.0012798309
