feature,importance
counts__bitcoin_stockprice,-3.0056152
counts__bitcoin_volume,59.195312
counts__bitcoin_volatility,3.7092285
counts__bitcoin_volatility_std_10,-2.4089355
counts__bitcoin_avg_volume_20,27.168701
counts__bitcoin_volume_spike_20,481.51123
counts__bitcoin_stockprice_sma_20,-10.003906
counts__bitcoin_stockprice_ema_26,-5.3513184
counts__bitcoin_stockprice_macd_line,-5.2055664
counts__bitcoin_stockprice_rsi_14,0.5991211
counts__bitcoin_stockprice_bb_mean_20,4.73999
counts__bitcoin_stockprice_bb_upper_20,1.2702637
counts__bitcoin_stockprice_bb_lower_20,-4.054199
counts__bitcoin_dx_14,20.761719
counts__bitcoin_adx_14,5.453369
counts__bitcoin_stoch_d_3,-9.280518
counts__bitcoin_obv,-4.5664062
counts__bitcoin_stockprice_momentum_21,0.8798828
scores__business_entrepreneurs,27.646973
scores__science_technology,5.140869
binary__is_trading_day,263.3474
counts__tweet_count,12.144775
counts__nlp_tweet_count,6.050049
counts__tesla,-2.9472656
counts__stock,-0.5227051
counts__market,1.9660645
counts__price,-0.106933594
counts__profit,2.2407227
counts__loss,-0.8647461
counts__revenue,5.121826
counts__inflation,-0.79467773
counts__interest,-0.031982422
counts__bitcoin,0.07128906
counts__dogecoin,0.26831055
counts__crypto,-0.0031738281
counts__ethereum,0.0
counts__spacex,21.62085
counts__model,0.46362305
counts__cybertruck,0.6520996
counts__starship,0.8535156
counts__buy,-1.3725586
counts__sell,0.90063477
counts__likeCount,-4.2563477
counts__quoteCount,-4.4179688
counts__retweetCount,6.724365
counts__replyCount,-4.9956055
scores__neg,7.5161133
scores__neu,-0.63012695
scores__pos,-12.686768
scores__anger,-3.557129
scores__disgust,-10.784912
scores__fear,-5.555176
scores__joy,-5.70874
scores__neutral,-5.4143066
scores__sadness,-20.659912
scores__surprise,7.8774414
scores__news_social_concern,9.526855
binary__no_tweets,-0.18652344
