feature,importance
counts__bitcoin_stockprice,2.86792
counts__bitcoin_volume,613.15845
counts__bitcoin_volatility,32.494385
counts__bitcoin_volatility_std_10,0.30786133
counts__bitcoin_avg_volume_20,10.87915
counts__bitcoin_volume_spike_20,530.34546
counts__bitcoin_stockprice_sma_20,3.0668945
counts__bitcoin_stockprice_ema_26,-0.8522949
counts__bitcoin_stockprice_macd_line,50.165527
counts__bitcoin_stockprice_rsi_14,-8.056885
counts__bitcoin_stockprice_bb_mean_20,-0.61376953
counts__bitcoin_stockprice_bb_upper_20,-3.772705
counts__bitcoin_stockprice_bb_lower_20,1.060791
counts__bitcoin_dx_14,-25.267578
counts__bitcoin_adx_14,6.902588
counts__bitcoin_stoch_d_3,-1.7060547
counts__bitcoin_obv,-15.361572
counts__bitcoin_stockprice_momentum_21,12.512207
scores__business_entrepreneurs,2.9682617
scores__science_technology,-4.2614746
binary__is_trading_day,2156.0347
counts__tweet_count,-16.996826
counts__nlp_tweet_count,-2.8405762
counts__tesla,-5.8483887
counts__stock,-4.9990234
counts__market,13.581299
counts__price,1.873291
counts__profit,4.593994
counts__loss,-13.04541
counts__revenue,3.427002
counts__inflation,2.2995605
counts__interest,-3.7529297
counts__bitcoin,-0.21142578
counts__dogecoin,0.0
counts__crypto,-12.8828125
counts__ethereum,0.0
counts__spacex,-42.6438
counts__model,-4.3320312
counts__cybertruck,-2.984375
counts__starship,1.0908203
counts__buy,-2.6906738
counts__sell,-14.192383
counts__likeCount,2.510498
counts__quoteCount,-0.21362305
counts__retweetCount,-3.170166
counts__replyCount,1.7272949
scores__neg,-0.6743164
scores__neu,-2.4221191
scores__pos,-32.252197
scores__anger,42.59253
scores__disgust,-17.079346
scores__fear,20.654053
scores__joy,-4.211914
scores__neutral,0.36206055
scores__sadness,1.324707
scores__surprise,10.293701
scores__news_social_concern,-26.48999
binary__no_tweets,0.0
