feature,importance
counts__nasdaq_stockprice,-0.0004107952
counts__nasdaq_volume,0.0012457371
counts__nasdaq_volatility,0.0005571842
counts__nasdaq_volatility_std_10,0.00034928322
counts__nasdaq_avg_volume_20,0.0028915405
counts__nasdaq_volume_spike_20,0.0010066032
counts__nasdaq_stockprice_sma_20,0.0040016174
counts__nasdaq_stockprice_ema_26,-0.0006968975
counts__nasdaq_stockprice_macd_line,-0.006623268
counts__nasdaq_stockprice_rsi_14,0.00060653687
counts__nasdaq_stockprice_bb_mean_20,0.0006144047
counts__nasdaq_stockprice_bb_upper_20,0.0030670166
counts__nasdaq_stockprice_bb_lower_20,0.0013711452
counts__nasdaq_dx_14,-0.0030441284
counts__nasdaq_adx_14,-0.0010921955
counts__nasdaq_stoch_d_3,0.007520914
counts__nasdaq_obv,0.00030112267
counts__nasdaq_stockprice_momentum_21,0.0015103817
scores__business_entrepreneurs,0.0013756752
scores__science_technology,-0.0023002625
binary__is_trading_day,0.006980419
counts__tweet_count,0.000121831894
counts__nlp_tweet_count,-0.005774617
counts__tesla,-0.0049575567
counts__stock,0.00097060204
counts__market,-0.008614302
counts__price,0.00034093857
counts__profit,-0.0012235641
counts__loss,-0.0032126904
counts__revenue,0.0037920475
counts__inflation,0.0067625046
counts__interest,-0.0059090853
counts__bitcoin,-0.00014448166
counts__dogecoin,-3.886223e-05
counts__crypto,-9.1314316e-05
counts__ethereum,0.0
counts__spacex,-0.005253315
counts__model,0.000351429
counts__cybertruck,0.00041747093
counts__starship,-0.00890398
counts__buy,-0.0030903816
counts__sell,0.0034136772
counts__likeCount,-0.00082063675
counts__quoteCount,0.0063397884
counts__retweetCount,0.01821804
counts__replyCount,-0.0034028292
scores__neg,0.002902031
scores__neu,-0.009886146
scores__pos,0.0004942417
scores__anger,0.0047171116
scores__disgust,-0.012632608
scores__fear,0.000177145
scores__joy,-0.002039194
scores__neutral,-0.004567623
scores__sadness,0.03049469
scores__surprise,-0.015299201
scores__news_social_concern,0.021888256
binary__no_tweets,9.3221664e-05
