feature,importance
counts__nasdaq_stockprice,-0.0069503784
counts__nasdaq_volume,0.008769989
counts__nasdaq_volatility,0.08245468
counts__nasdaq_volatility_std_10,0.021923065
counts__nasdaq_avg_volume_20,0.013341904
counts__nasdaq_volume_spike_20,-0.019231796
counts__nasdaq_stockprice_sma_20,-0.0018177032
counts__nasdaq_stockprice_ema_26,0.047582626
counts__nasdaq_stockprice_macd_line,0.07105446
counts__nasdaq_stockprice_rsi_14,-0.13725281
counts__nasdaq_stockprice_bb_mean_20,-0.0014038086
counts__nasdaq_stockprice_bb_upper_20,0.032426834
counts__nasdaq_stockprice_bb_lower_20,0.014738083
counts__nasdaq_dx_14,-0.03404045
counts__nasdaq_adx_14,0.6973419
counts__nasdaq_stoch_d_3,0.8934097
counts__nasdaq_obv,0.00825119
counts__nasdaq_stockprice_momentum_21,-0.03832817
scores__business_entrepreneurs,0.033359528
scores__science_technology,-0.029766083
binary__is_trading_day,0.03043747
counts__tweet_count,-0.07236481
counts__nlp_tweet_count,-0.01458931
counts__tesla,0.007619858
counts__stock,0.024570465
counts__market,0.010709763
counts__price,0.0016765594
counts__profit,-0.030719757
counts__loss,-0.014728546
counts__revenue,-0.013160706
counts__inflation,0.0036411285
counts__interest,0.0038814545
counts__bitcoin,0.0017719269
counts__dogecoin,-0.002937317
counts__crypto,-0.0010719299
counts__ethereum,0.0
counts__spacex,0.06810951
counts__model,0.005121231
counts__cybertruck,0.006910324
counts__starship,0.017370224
counts__buy,0.0005607605
counts__sell,0.011943817
counts__likeCount,-0.043289185
counts__quoteCount,0.012340546
counts__retweetCount,0.023935318
counts__replyCount,-0.09600258
scores__neg,0.1634388
scores__neu,-0.012340546
scores__pos,-0.016923904
scores__anger,0.057834625
scores__disgust,-0.12821007
scores__fear,0.029743195
scores__joy,-0.084516525
scores__neutral,-0.02783966
scores__sadness,-0.005247116
scores__surprise,-0.032295227
scores__news_social_concern,-0.0060367584
binary__no_tweets,0.000102996826
