feature,importance
counts__nasdaq_stockprice,0.8417816
counts__nasdaq_volume,20.967453
counts__nasdaq_volatility,0.24104309
counts__nasdaq_volatility_std_10,-0.71580505
counts__nasdaq_avg_volume_20,0.2863617
counts__nasdaq_volume_spike_20,20.498047
counts__nasdaq_stockprice_sma_20,-0.08880615
counts__nasdaq_stockprice_ema_26,-0.6950073
counts__nasdaq_stockprice_macd_line,-0.5101776
counts__nasdaq_stockprice_rsi_14,1.0416718
counts__nasdaq_stockprice_bb_mean_20,0.44848633
counts__nasdaq_stockprice_bb_upper_20,0.5832672
counts__nasdaq_stockprice_bb_lower_20,0.0079193115
counts__nasdaq_dx_14,0.26153564
counts__nasdaq_adx_14,-0.05935669
counts__nasdaq_stoch_d_3,1.0602264
counts__nasdaq_obv,0.038635254
counts__nasdaq_stockprice_momentum_21,0.6788025
scores__business_entrepreneurs,-0.3186493
scores__science_technology,1.1585541
binary__is_trading_day,18.504578
counts__tweet_count,0.1335144
counts__nlp_tweet_count,-0.24682617
counts__tesla,0.9071045
counts__stock,-0.51623535
counts__market,-1.3515015
counts__price,-0.117767334
counts__profit,-0.1631012
counts__loss,-0.24067688
counts__revenue,0.70224
counts__inflation,0.40507507
counts__interest,-0.82170105
counts__bitcoin,-0.011047363
counts__dogecoin,0.0027770996
counts__crypto,-0.08570862
counts__ethereum,0.0
counts__spacex,0.5912323
counts__model,-0.014801025
counts__cybertruck,-0.06613159
counts__starship,0.7566986
counts__buy,-0.42111206
counts__sell,-0.043884277
counts__likeCount,-0.9151764
counts__quoteCount,-0.21760559
counts__retweetCount,-2.7221985
counts__replyCount,-0.2443695
scores__neg,-0.44328308
scores__neu,-0.7982788
scores__pos,-1.2131195
scores__anger,4.603592
scores__disgust,0.506958
scores__fear,-0.491333
scores__joy,-0.2169342
scores__neutral,0.904129
scores__sadness,0.5483551
scores__surprise,-0.05482483
scores__news_social_concern,3.0632935
binary__no_tweets,0.03845215
