feature,importance
counts__nasdaq_stockprice,0.059295654
counts__nasdaq_volume,11.29184
counts__nasdaq_volatility,-0.081710815
counts__nasdaq_volatility_std_10,-0.24111938
counts__nasdaq_avg_volume_20,0.98461914
counts__nasdaq_volume_spike_20,12.338303
counts__nasdaq_stockprice_sma_20,-0.1280365
counts__nasdaq_stockprice_ema_26,0.14434814
counts__nasdaq_stockprice_macd_line,-1.5502625
counts__nasdaq_stockprice_rsi_14,-0.57463074
counts__nasdaq_stockprice_bb_mean_20,0.07118225
counts__nasdaq_stockprice_bb_upper_20,-0.73049927
counts__nasdaq_stockprice_bb_lower_20,0.37420654
counts__nasdaq_dx_14,0.21665955
counts__nasdaq_adx_14,1.7399597
counts__nasdaq_stoch_d_3,0.9542084
counts__nasdaq_obv,0.087020874
counts__nasdaq_stockprice_momentum_21,-0.3413849
scores__business_entrepreneurs,0.38685608
scores__science_technology,-2.1730042
binary__is_trading_day,10.08757
counts__tweet_count,-0.37606812
counts__nlp_tweet_count,-0.08248901
counts__tesla,0.018417358
counts__stock,0.35029602
counts__market,0.012893677
counts__price,0.0038146973
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.036071777
counts__inflation,0.85635376
counts__interest,-0.00730896
counts__bitcoin,0.0012207031
counts__dogecoin,0.04446411
counts__crypto,-0.012283325
counts__ethereum,-0.26171875
counts__spacex,-0.1951294
counts__model,-0.0007324219
counts__cybertruck,0.0015258789
counts__starship,0.19604492
counts__buy,-0.014450073
counts__sell,-0.00045776367
counts__likeCount,1.3913574
counts__quoteCount,-0.2059021
counts__retweetCount,0.28279114
counts__replyCount,-0.1458435
scores__neg,0.24873352
scores__neu,-0.76812744
scores__pos,-2.8852234
scores__anger,-3.0584412
scores__disgust,-0.040649414
scores__fear,2.5722198
scores__joy,0.7303314
scores__neutral,-0.08729553
scores__sadness,-1.5364685
scores__surprise,0.14193726
scores__news_social_concern,-0.40879822
binary__no_tweets,1.2901306
