feature,importance
counts__sp500_stockprice,-1.7523766e-05
counts__sp500_volume,-0.016896486
counts__sp500_volatility,-0.008321404
counts__sp500_volatility_std_10,-0.011714935
counts__sp500_avg_volume_20,-0.012019515
counts__sp500_volume_spike_20,-0.0014076233
counts__sp500_stockprice_sma_20,9.953976e-05
counts__sp500_stockprice_ema_26,-2.861023e-05
counts__sp500_stockprice_macd_line,-0.017920136
counts__sp500_stockprice_rsi_14,-0.025794268
counts__sp500_stockprice_bb_mean_20,0.0007892847
counts__sp500_stockprice_bb_upper_20,-2.3007393e-05
counts__sp500_stockprice_bb_lower_20,-0.002686143
counts__sp500_dx_14,-0.03381014
counts__sp500_adx_14,-0.011246562
counts__sp500_stoch_d_3,-0.038688302
counts__sp500_obv,-0.00069975853
counts__sp500_stockprice_momentum_21,-0.023875356
scores__business_entrepreneurs,-0.0044151545
scores__science_technology,-0.004494667
binary__is_trading_day,0.0016701221
counts__tweet_count,-0.00065135956
counts__nlp_tweet_count,-0.00013411045
counts__tesla,-0.023028016
counts__stock,0.0003579855
counts__market,-0.0012851954
counts__price,-0.0003620386
counts__profit,-0.00036084652
counts__loss,-0.009213686
counts__revenue,-0.0011419058
counts__inflation,-0.0038272142
counts__interest,-0.0049700737
counts__bitcoin,-9.1552734e-05
counts__dogecoin,7.6293945e-06
counts__crypto,0.00023198128
counts__ethereum,0.0
counts__spacex,-0.000269413
counts__model,0.00275743
counts__cybertruck,-0.0031516552
counts__starship,0.00061273575
counts__buy,-0.004705429
counts__sell,-8.523464e-05
counts__likeCount,0.0005079508
counts__quoteCount,-0.00460577
counts__retweetCount,-0.0043599606
counts__replyCount,-0.005726695
scores__neg,-0.004455328
scores__neu,-0.008883715
scores__pos,-0.008177161
scores__anger,0.0355922
scores__disgust,-0.0053794384
scores__fear,0.0032036304
scores__joy,-0.03926003
scores__neutral,0.0019575357
scores__sadness,-0.008577585
scores__surprise,-0.00048542023
scores__news_social_concern,0.06815565
binary__no_tweets,1.513958e-05
