feature,importance
counts__sp500_stockprice,0.31930542
counts__sp500_volume,37.128082
counts__sp500_volatility,-0.07739258
counts__sp500_volatility_std_10,-0.21575928
counts__sp500_avg_volume_20,0.22814941
counts__sp500_volume_spike_20,26.19812
counts__sp500_stockprice_sma_20,0.45040894
counts__sp500_stockprice_ema_26,0.19528198
counts__sp500_stockprice_macd_line,-0.3381958
counts__sp500_stockprice_rsi_14,0.1647644
counts__sp500_stockprice_bb_mean_20,0.2362976
counts__sp500_stockprice_bb_upper_20,-0.3600464
counts__sp500_stockprice_bb_lower_20,0.06893921
counts__sp500_dx_14,-0.1821289
counts__sp500_adx_14,0.25372314
counts__sp500_stoch_d_3,1.4732666
counts__sp500_obv,-0.08392334
counts__sp500_stockprice_momentum_21,0.33639526
scores__business_entrepreneurs,0.09561157
scores__science_technology,-0.29370117
binary__is_trading_day,6.1948853
counts__tweet_count,-0.04827881
counts__nlp_tweet_count,-0.44528198
counts__tesla,0.19805908
counts__stock,-0.014678955
counts__market,-0.0010681152
counts__price,0.04736328
counts__profit,0.25598145
counts__loss,-0.05883789
counts__revenue,0.5534973
counts__inflation,-0.02029419
counts__interest,-0.2142334
counts__bitcoin,0.012512207
counts__dogecoin,0.0018615723
counts__crypto,0.01373291
counts__ethereum,0.0
counts__spacex,0.102996826
counts__model,0.05496216
counts__cybertruck,-0.16574097
counts__starship,0.24102783
counts__buy,0.18487549
counts__sell,0.049560547
counts__likeCount,-0.50753784
counts__quoteCount,0.48635864
counts__retweetCount,0.07434082
counts__replyCount,-0.37130737
scores__neg,-0.71673584
scores__neu,0.22598267
scores__pos,0.052734375
scores__anger,-0.5593872
scores__disgust,-0.66433716
scores__fear,-0.103302
scores__joy,-0.21588135
scores__neutral,-0.35357666
scores__sadness,-0.85058594
scores__surprise,0.049743652
scores__news_social_concern,1.9081421
binary__no_tweets,0.18740845
