feature,importance
counts__tesla_stockprice,0.004512787
counts__tesla_volume,0.001033783
counts__tesla_volatility,0.0011310577
counts__tesla_volatility_std_10,-0.00091362
counts__tesla_avg_volume_20,-0.0043678284
counts__tesla_volume_spike_20,0.002401352
counts__tesla_stockprice_sma_20,0.011482239
counts__tesla_stockprice_ema_26,-9.346008e-05
counts__tesla_stockprice_macd_line,0.0017757416
counts__tesla_stockprice_rsi_14,0.00050735474
counts__tesla_stockprice_bb_mean_20,0.0024108887
counts__tesla_stockprice_bb_upper_20,0.011932373
counts__tesla_stockprice_bb_lower_20,0.00036621094
counts__tesla_dx_14,0.01713562
counts__tesla_adx_14,0.0015220642
counts__tesla_stoch_d_3,-0.0023956299
counts__tesla_obv,0.000120162964
counts__tesla_stockprice_momentum_21,-0.0015850067
scores__business_entrepreneurs,-0.00054359436
scores__science_technology,-0.0056419373
binary__is_trading_day,0.028194427
counts__tweet_count,-0.050621033
counts__nlp_tweet_count,-0.092243195
counts__tesla,-0.009977341
counts__stock,-0.0032844543
counts__market,0.007944107
counts__price,-8.201599e-05
counts__profit,0.001253128
counts__loss,0.013706207
counts__revenue,0.00024032593
counts__inflation,-0.031801224
counts__interest,-0.010131836
counts__bitcoin,0.004676819
counts__dogecoin,0.0028591156
counts__crypto,-0.0077266693
counts__ethereum,0.0
counts__spacex,0.005689621
counts__model,0.0075321198
counts__cybertruck,0.011526108
counts__starship,0.0006504059
counts__buy,-0.0022659302
counts__sell,0.0043182373
counts__likeCount,-0.008428574
counts__quoteCount,-0.012468338
counts__retweetCount,-0.012973785
counts__replyCount,-0.04894638
scores__neg,-0.009346008
scores__neu,-0.008909225
scores__pos,0.026212692
scores__anger,0.00028038025
scores__disgust,0.00070762634
scores__fear,-0.040058136
scores__joy,0.019134521
scores__neutral,0.002204895
scores__sadness,0.029388428
scores__surprise,0.022356033
scores__news_social_concern,0.017467499
binary__no_tweets,-0.0005569458
