feature,importance
counts__tesla_stockprice,0.088033676
counts__tesla_volume,-0.012807846
counts__tesla_volatility,0.0024261475
counts__tesla_volatility_std_10,0.008859634
counts__tesla_avg_volume_20,-0.006494522
counts__tesla_volume_spike_20,0.01940155
counts__tesla_stockprice_sma_20,0.03240776
counts__tesla_stockprice_ema_26,0.11608505
counts__tesla_stockprice_macd_line,-0.00863266
counts__tesla_stockprice_rsi_14,-0.035095215
counts__tesla_stockprice_bb_mean_20,0.01171875
counts__tesla_stockprice_bb_upper_20,0.07123566
counts__tesla_stockprice_bb_lower_20,0.06885338
counts__tesla_dx_14,0.060415268
counts__tesla_adx_14,0.027626038
counts__tesla_stoch_d_3,-0.045927048
counts__tesla_obv,-0.0036010742
counts__tesla_stockprice_momentum_21,0.005508423
scores__business_entrepreneurs,-0.01768303
scores__science_technology,-0.041355133
binary__is_trading_day,-0.009420395
counts__tweet_count,-0.012622833
counts__nlp_tweet_count,-0.04988861
counts__tesla,0.12697029
counts__stock,-0.045366287
counts__market,0.00010108948
counts__price,0.049549103
counts__profit,0.04417801
counts__loss,0.018899918
counts__revenue,0.00023269653
counts__inflation,0.06174469
counts__interest,0.038404465
counts__bitcoin,-0.017623901
counts__dogecoin,0.0
counts__crypto,-0.019695282
counts__ethereum,0.0
counts__spacex,-0.006608963
counts__model,0.040956497
counts__cybertruck,-0.038557053
counts__starship,0.013912201
counts__buy,0.027896881
counts__sell,0.052656174
counts__likeCount,0.048669815
counts__quoteCount,-0.008560181
counts__retweetCount,0.062034607
counts__replyCount,0.07394409
scores__neg,0.016916275
scores__neu,0.054561615
scores__pos,0.07030296
scores__anger,0.030452728
scores__disgust,0.030162811
scores__fear,0.008462906
scores__joy,0.026432037
scores__neutral,0.020580292
scores__sadness,0.12253761
scores__surprise,-0.023096085
scores__news_social_concern,-0.066719055
binary__no_tweets,0.0
