feature,importance
counts__tesla_stockprice,-0.11515808
counts__tesla_volume,0.12654114
counts__tesla_volatility,0.0002822876
counts__tesla_volatility_std_10,0.11435318
counts__tesla_avg_volume_20,0.045619965
counts__tesla_volume_spike_20,0.024684906
counts__tesla_stockprice_sma_20,-0.029590607
counts__tesla_stockprice_ema_26,0.048866272
counts__tesla_stockprice_macd_line,0.037715912
counts__tesla_stockprice_rsi_14,0.02212143
counts__tesla_stockprice_bb_mean_20,0.13488388
counts__tesla_stockprice_bb_upper_20,0.22294998
counts__tesla_stockprice_bb_lower_20,0.040454865
counts__tesla_dx_14,1.2456665
counts__tesla_adx_14,-0.016368866
counts__tesla_stoch_d_3,0.2159729
counts__tesla_obv,0.028476715
counts__tesla_stockprice_momentum_21,0.021152496
scores__business_entrepreneurs,-0.67746735
scores__science_technology,-0.08898926
binary__is_trading_day,-0.7969742
counts__tweet_count,0.1747818
counts__nlp_tweet_count,0.22978592
counts__tesla,0.011909485
counts__stock,0.17411423
counts__market,-0.053951263
counts__price,0.004814148
counts__profit,0.03359604
counts__loss,-0.044605255
counts__revenue,-0.025489807
counts__inflation,-0.18889236
counts__interest,-0.14645767
counts__bitcoin,0.00044631958
counts__dogecoin,-0.0005912781
counts__crypto,0.0058250427
counts__ethereum,0.0
counts__spacex,0.047611237
counts__model,-0.009029388
counts__cybertruck,-0.013492584
counts__starship,0.086429596
counts__buy,0.23044968
counts__sell,-0.007419586
counts__likeCount,0.2743988
counts__quoteCount,0.08291626
counts__retweetCount,0.064468384
counts__replyCount,0.06949234
scores__neg,-0.3652382
scores__neu,0.30986404
scores__pos,0.7369461
scores__anger,-0.17940521
scores__disgust,-0.3278885
scores__fear,0.071949005
scores__joy,0.31061554
scores__neutral,-0.22700119
scores__sadness,-0.3976097
scores__surprise,-0.40869522
scores__news_social_concern,-0.39970016
binary__no_tweets,-0.0018386841
