feature,importance
counts__tesla_stockprice,21.139404
counts__tesla_volume,72.81372
counts__tesla_volatility,-7.2860107
counts__tesla_volatility_std_10,7.555664
counts__tesla_avg_volume_20,24.951294
counts__tesla_volume_spike_20,106.15491
counts__tesla_stockprice_sma_20,-9.759888
counts__tesla_stockprice_ema_26,-8.094116
counts__tesla_stockprice_macd_line,-3.1361084
counts__tesla_stockprice_rsi_14,21.36316
counts__tesla_stockprice_bb_mean_20,8.144897
counts__tesla_stockprice_bb_upper_20,20.302856
counts__tesla_stockprice_bb_lower_20,0.55822754
counts__tesla_dx_14,-0.3812256
counts__tesla_adx_14,-2.7524414
counts__tesla_stoch_d_3,38.848267
counts__tesla_obv,-4.6411133
counts__tesla_stockprice_momentum_21,-17.242065
scores__business_entrepreneurs,66.328
scores__science_technology,57.17444
binary__is_trading_day,-2.8380127
counts__tweet_count,-0.9967041
counts__nlp_tweet_count,-0.0982666
counts__tesla,4.5283203
counts__stock,0.0
counts__market,0.0
counts__price,0.26428223
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,1.4273682
counts__model,-0.08996582
counts__cybertruck,0.0
counts__starship,0.0
counts__buy,-0.43310547
counts__sell,-0.0982666
counts__likeCount,8.828003
counts__quoteCount,7.8728027
counts__retweetCount,-0.53234863
counts__replyCount,0.07946777
scores__neg,6.9539795
scores__neu,-9.726929
scores__pos,11.898071
scores__anger,14.130859
scores__disgust,-13.539917
scores__fear,-6.89917
scores__joy,35.23291
scores__neutral,-5.025635
scores__sadness,-10.354248
scores__surprise,5.077881
scores__news_social_concern,40.86499
binary__no_tweets,21.526001
