feature,importance
counts__replyCount,0.014962593516209433
scores__news_social_concern,0.014962593516209433
counts__retweetCount,0.009975062344139585
scores__learning_educational,0.007481296758104716
counts__buy,0.007481296758104716
scores__Conscientiousness,0.004987531172069737
scores__music,0.004987531172069737
scores__Agreeableness,0.004987531172069737
scores__Openness,0.004987531172069737
counts__nasdaq_volatility,0.004987531172069737
counts__nasdaq_stockprice_ema_26,0.004987531172069737
counts__nlp_tweet_count,0.0024937655860348684
counts__tweet_count,0.0024937655860348684
counts__nasdaq_avg_volume_20,0.0024937655860348684
counts__revenue,0.0024937655860348684
counts__model,0.0024937655860348684
scores__neu,0.0024937655860348684
counts__nasdaq_stockprice_momentum_7,0.0024937655860348684
counts__nasdaq_stockprice_roc_21,0.0024937655860348684
scores__family,0.0024937655860348684
scores__business_entrepreneurs,0.0024937655860348684
counts__nasdaq_stockprice_sma_10,0.0
counts__nasdaq_stockprice_macd_signal,0.0
counts__nasdaq_stockprice_bb_lower_20,0.0
counts__nasdaq_volatility_std_10,0.0
counts__dogecoin,0.0
counts__ethereum,0.0
binary__no_tweets,0.0
scores__sports,0.0
scores__other_hobbies,0.0
scores__celebrity_pop_culture,0.0
counts__stock,-0.0024937655860349794
counts__bitcoin,-0.0024937655860349794
scores__youth_student_life,-0.0024937655860349794
scores__neutral,-0.0024937655860349794
scores__surprise,-0.0024937655860349794
scores__fashion_style,-0.0024937655860349794
scores__polarized,-0.0024937655860349794
counts__nasdaq_stockprice_bb_upper_20,-0.0024937655860349794
counts__nasdaq_stockprice_sma_20,-0.0024937655860349794
counts__nasdaq_stockprice_roc_7,-0.0024937655860349794
scores__fitness_&_health,-0.0024937655860349794
counts__crypto,-0.0024937655860349794
counts__profit,-0.0024937655860349794
counts__price,-0.0024937655860349794
counts__nasdaq_stockprice_sma_5,-0.004987531172069848
scores__arts_culture,-0.004987531172069848
scores__gaming,-0.004987531172069848
scores__food_&_dining,-0.004987531172069848
scores__relationships,-0.004987531172069848
scores__diaries_daily_life,-0.004987531172069848
counts__nasdaq_atr_14,-0.004987531172069848
counts__nasdaq_stockprice_momentum_21,-0.004987531172069848
counts__nasdaq_dx_14,-0.004987531172069848
counts__nasdaq_obv,-0.004987531172069848
counts__nasdaq_stockprice_ema_12,-0.004987531172069848
counts__nasdaq_stockprice_macd_line,-0.004987531172069848
counts__nasdaq_stockprice_sma_100,-0.004987531172069848
counts__nasdaq_stockprice_macd_hist,-0.004987531172069848
counts__nasdaq_stockprice,-0.007481296758104827
counts__tesla,-0.007481296758104827
scores__travel_adventure,-0.007481296758104827
scores__fear,-0.007481296758104827
scores__anger,-0.007481296758104827
scores__neg,-0.007481296758104827
scores__sadness,-0.007481296758104827
scores__science_technology,-0.007481296758104827
scores__Extroversion,-0.007481296758104827
scores__disgust,-0.007481296758104827
counts__interest,-0.007481296758104827
counts__cybertruck,-0.007481296758104827
counts__quoteCount,-0.007481296758104827
counts__nasdaq_stockprice_sma_50,-0.009975062344139696
counts__nasdaq_stockprice_bb_mean_20,-0.009975062344139696
counts__nasdaq_mdi_14,-0.009975062344139696
counts__nasdaq_volume,-0.009975062344139696
counts__market,-0.009975062344139696
scores__film_tv_video,-0.009975062344139696
scores__joy,-0.009975062344139696
counts__nasdaq_adx_14,-0.009975062344139696
scores__pos,-0.009975062344139696
counts__nasdaq_stockprice_rsi_14,-0.012468827930174564
counts__nasdaq_stoch_d_3,-0.012468827930174564
counts__loss,-0.014962593516209544
counts__sell,-0.014962593516209544
counts__nasdaq_volume_spike_20,-0.014962593516209544
counts__likeCount,-0.017456359102244412
counts__starship,-0.017456359102244412
counts__inflation,-0.017456359102244412
scores__Neuroticism,-0.01995012468827939
counts__nasdaq_pdi_14,-0.01995012468827939
binary__is_trading_day,-0.029925187032418976
counts__spacex,-0.034912718204488824
