feature,importance
scores__neg,0.027431421446384052
scores__Conscientiousness,0.02493765586034913
counts__interest,0.022443890274314204
counts__likeCount,0.022443890274314204
counts__revenue,0.014962593516209488
scores__science_technology,0.012468827930174564
scores__youth_student_life,0.012468827930174564
counts__tesla_obv,0.00997506234413964
scores__fear,0.00997506234413964
scores__Neuroticism,0.00997506234413964
binary__is_trading_day,0.00997506234413964
scores__Agreeableness,0.00997506234413964
counts__tesla_volatility,0.007481296758104772
counts__tesla_stockprice_macd_line,0.007481296758104772
counts__tesla_dx_14,0.007481296758104772
scores__music,0.007481296758104772
counts__tesla_stockprice_momentum_7,0.007481296758104772
counts__market,0.007481296758104772
counts__tesla_volume,0.004987531172069848
counts__tesla_volume_spike_20,0.004987531172069848
counts__tesla_stockprice_macd_signal,0.002493765586034924
counts__tesla_stockprice_ema_12,0.002493765586034924
counts__quoteCount,0.002493765586034924
counts__replyCount,0.002493765586034924
scores__Extroversion,0.002493765586034924
scores__learning_educational,0.002493765586034924
scores__polarized,0.002493765586034924
counts__tesla_avg_volume_20,0.002493765586034924
scores__Openness,0.002493765586034924
scores__travel_adventure,0.002493765586034924
scores__disgust,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__price,0.0
scores__celebrity_pop_culture,0.0
scores__sports,0.0
binary__no_tweets,0.0
scores__pos,0.0
counts__tesla_stockprice_roc_21,0.0
scores__food_&_dining,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__model,0.0
counts__tesla_stockprice,0.0
counts__sell,0.0
counts__profit,0.0
counts__stock,0.0
counts__tesla_stockprice_bb_mean_20,0.0
counts__tesla_stockprice_momentum_21,0.0
counts__tesla_stoch_d_3,0.0
counts__tesla_stockprice_macd_hist,0.0
counts__tesla_stockprice_sma_50,0.0
scores__other_hobbies,-0.002493765586034924
counts__starship,-0.002493765586034924
counts__tesla_volatility_std_10,-0.002493765586034924
counts__loss,-0.002493765586034924
scores__business_entrepreneurs,-0.002493765586034924
counts__tesla_pdi_14,-0.002493765586034924
counts__tesla_adx_14,-0.002493765586034924
scores__arts_culture,-0.002493765586034924
scores__joy,-0.002493765586034924
counts__tesla_stockprice_ema_26,-0.002493765586034924
counts__tesla_stockprice_sma_20,-0.002493765586034924
scores__fitness_&_health,-0.004987531172069792
scores__film_tv_video,-0.004987531172069792
scores__neutral,-0.004987531172069792
scores__family,-0.004987531172069792
counts__inflation,-0.004987531172069792
counts__cybertruck,-0.004987531172069792
scores__relationships,-0.004987531172069792
scores__news_social_concern,-0.004987531172069792
counts__tesla_stockprice_sma_5,-0.004987531172069792
counts__tesla_stockprice_sma_100,-0.004987531172069792
counts__tesla_stockprice_bb_lower_20,-0.004987531172069792
counts__tesla_stockprice_rsi_14,-0.004987531172069792
scores__neu,-0.004987531172069792
counts__tesla_stockprice_roc_7,-0.004987531172069792
scores__fashion_style,-0.007481296758104716
scores__surprise,-0.007481296758104716
counts__tesla_stockprice_sma_10,-0.007481296758104716
counts__tesla_atr_14,-0.007481296758104716
counts__nlp_tweet_count,-0.007481296758104716
counts__buy,-0.00997506234413964
scores__sadness,-0.00997506234413964
counts__retweetCount,-0.00997506234413964
scores__gaming,-0.00997506234413964
scores__diaries_daily_life,-0.00997506234413964
counts__tesla_stockprice_bb_upper_20,-0.00997506234413964
counts__tesla,-0.014962593516209488
scores__anger,-0.014962593516209488
counts__spacex,-0.019950124688279336
counts__tesla_mdi_14,-0.022443890274314204
counts__tweet_count,-0.024937655860349073
