feature,importance
scores__pos,0.011627906976744151
scores__surprise,0.011627906976744151
counts__spacex,0.005813953488372103
counts__quoteCount,0.005813953488372103
counts__dogecoin,0.005813953488372103
counts__tesla_stockprice_sma_5,0.005813953488372103
counts__tesla_stoch_d_3,0.005813953488372103
counts__tesla_stockprice_macd_line,0.005813953488372103
counts__tesla_stockprice_bb_lower_20,0.005813953488372103
counts__tesla_avg_volume_20,0.005813953488372103
counts__tesla_stockprice_sma_10,0.005813953488372103
scores__film_tv_video,0.005813953488372103
scores__fashion_style,0.005813953488372103
scores__food_&_dining,0.005813953488372103
scores__disgust,0.005813953488372103
scores__joy,0.005813953488372103
scores__youth_student_life,0.005813953488372103
scores__fitness_&_health,0.005813953488372103
counts__replyCount,0.0
counts__stock,0.0
counts__revenue,0.0
counts__bitcoin,0.0
counts__inflation,0.0
counts__profit,0.0
counts__tesla_stockprice,0.0
counts__model,0.0
counts__cybertruck,0.0
counts__price,0.0
counts__market,0.0
scores__Extroversion,0.0
scores__neu,0.0
counts__tesla_obv,0.0
counts__tesla_mdi_14,0.0
counts__tesla_stockprice_momentum_21,0.0
scores__family,0.0
scores__sports,0.0
scores__travel_adventure,0.0
counts__tesla_stockprice_ema_12,0.0
counts__tesla_stockprice_sma_100,0.0
counts__tesla_stockprice_macd_signal,0.0
counts__tesla_stockprice_ema_26,0.0
counts__tesla_stockprice_bb_upper_20,0.0
counts__tesla_volatility_std_10,0.0
counts__tesla_volume,0.0
counts__tesla_stockprice_sma_50,0.0
counts__tesla_stockprice_roc_21,0.0
counts__tesla_stockprice_bb_mean_20,0.0
counts__tesla_stockprice_sma_20,0.0
counts__tesla_volume_spike_20,0.0
scores__fear,-0.005813953488372103
scores__relationships,-0.005813953488372103
scores__gaming,-0.005813953488372103
scores__science_technology,-0.005813953488372103
counts__loss,-0.005813953488372103
counts__starship,-0.005813953488372103
counts__buy,-0.005813953488372103
counts__tesla,-0.005813953488372103
counts__ethereum,-0.005813953488372103
scores__business_entrepreneurs,-0.005813953488372103
scores__diaries_daily_life,-0.005813953488372103
counts__tesla_stockprice_momentum_7,-0.005813953488372103
counts__tesla_atr_14,-0.005813953488372103
counts__tesla_stockprice_roc_7,-0.005813953488372103
counts__tesla_stockprice_rsi_14,-0.005813953488372103
scores__other_hobbies,-0.005813953488372103
scores__celebrity_pop_culture,-0.005813953488372103
counts__nlp_tweet_count,-0.011627906976744207
counts__interest,-0.011627906976744207
counts__tesla_volatility,-0.011627906976744207
scores__Openness,-0.011627906976744207
scores__Conscientiousness,-0.011627906976744207
counts__tesla_dx_14,-0.011627906976744207
counts__retweetCount,-0.011627906976744207
counts__crypto,-0.011627906976744207
scores__Neuroticism,-0.011627906976744207
scores__neutral,-0.011627906976744207
counts__sell,-0.01744186046511631
binary__no_tweets,-0.01744186046511631
counts__tesla_adx_14,-0.01744186046511631
scores__music,-0.01744186046511631
scores__learning_educational,-0.01744186046511631
scores__anger,-0.01744186046511631
scores__Agreeableness,-0.01744186046511631
counts__tesla_stockprice_macd_hist,-0.023255813953488413
counts__tweet_count,-0.023255813953488413
scores__arts_culture,-0.023255813953488413
scores__polarized,-0.023255813953488413
scores__neg,-0.023255813953488413
counts__tesla_pdi_14,-0.023255813953488413
scores__news_social_concern,-0.023255813953488413
scores__sadness,-0.023255813953488413
counts__likeCount,-0.034883720930232565
binary__is_trading_day,-0.052325581395348875
