feature,importance
counts__bitcoin_stockprice,-0.039201736
counts__bitcoin_volume,-0.00074768066
counts__bitcoin_volatility,-0.0048599243
counts__bitcoin_volatility_std_10,0.0015029907
counts__bitcoin_avg_volume_20,-0.11862755
counts__bitcoin_volume_spike_20,0.0017242432
counts__bitcoin_stockprice_sma_20,0.067308426
counts__bitcoin_stockprice_ema_26,-0.009599686
counts__bitcoin_stockprice_macd_line,-0.040634155
counts__bitcoin_stockprice_rsi_14,-0.0002117157
counts__bitcoin_stockprice_bb_mean_20,0.02674675
counts__bitcoin_stockprice_bb_upper_20,0.069402695
counts__bitcoin_stockprice_bb_lower_20,-0.019058228
counts__bitcoin_dx_14,0.0043029785
counts__bitcoin_adx_14,-0.00055503845
counts__bitcoin_stoch_d_3,-0.008190155
counts__bitcoin_obv,-0.011541367
counts__bitcoin_stockprice_momentum_21,0.006816864
scores__Extroversion,0.0050296783
scores__Neuroticism,0.0048446655
scores__Agreeableness,-0.0026931763
scores__Conscientiousness,-0.0056209564
scores__Openness,-0.0035209656
scores__arts_culture,-0.0015163422
scores__business_entrepreneurs,-0.0002708435
scores__celebrity_pop_culture,0.0023880005
scores__diaries_daily_life,-0.018096924
scores__family,0.006717682
scores__fashion_style,-0.011798859
scores__film_tv_video,0.00242424
scores__fitness_&_health,-0.011444092
scores__food_&_dining,-0.0029964447
scores__gaming,-0.0029182434
scores__learning_educational,-8.9645386e-05
scores__music,-0.017267227
scores__other_hobbies,0.0070724487
scores__relationships,-0.015365601
scores__science_technology,0.006679535
scores__sports,0.0032844543
scores__travel_adventure,0.002779007
scores__youth_student_life,-0.012182236
binary__is_trading_day,0.005508423
counts__tweet_count,-0.00059890747
counts__nlp_tweet_count,-0.0025920868
counts__tesla,-0.005083084
counts__stock,0.0
counts__market,0.0
counts__price,0.0026493073
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,-0.027235031
counts__model,-0.001405716
counts__cybertruck,0.0
counts__starship,0.0
counts__buy,-0.0025253296
counts__sell,0.02122116
counts__likeCount,0.036262512
counts__quoteCount,-0.041259766
counts__retweetCount,0.053804398
counts__replyCount,-0.122291565
scores__neg,-0.053344727
scores__neu,-0.087667465
scores__pos,0.11438179
scores__anger,-0.10024643
scores__disgust,-0.05325699
scores__fear,-0.014284134
scores__joy,-0.02030754
scores__neutral,0.062480927
scores__sadness,0.01760292
scores__surprise,0.008960724
scores__news_social_concern,0.030914307
binary__no_tweets,0.05439949
