feature,importance
counts__nasdaq_stockprice,0.000656724
counts__nasdaq_volume,5.8472157e-05
counts__nasdaq_volatility,0.0008134246
counts__nasdaq_volatility_std_10,0.00047522783
counts__nasdaq_avg_volume_20,0.0022498965
counts__nasdaq_volume_spike_20,0.0002991557
counts__nasdaq_stockprice_sma_20,-0.00042146444
counts__nasdaq_stockprice_ema_26,0.00048613548
counts__nasdaq_stockprice_macd_line,0.0026541352
counts__nasdaq_stockprice_rsi_14,0.0023248196
counts__nasdaq_stockprice_bb_mean_20,0.002285719
counts__nasdaq_stockprice_bb_upper_20,-0.0009923577
counts__nasdaq_stockprice_bb_lower_20,0.0010262132
counts__nasdaq_dx_14,-0.00013107061
counts__nasdaq_adx_14,0.0011413097
counts__nasdaq_stoch_d_3,0.0015396476
counts__nasdaq_obv,0.00036913157
counts__nasdaq_stockprice_momentum_21,-0.0003065467
scores__Extroversion,-0.0046942234
scores__Neuroticism,0.0023539066
scores__Agreeableness,-0.0009442568
scores__Conscientiousness,-1.1980534e-05
scores__Openness,0.00089377165
scores__arts_culture,-0.0008896589
scores__business_entrepreneurs,0.0068765283
scores__celebrity_pop_culture,-0.00029021502
scores__diaries_daily_life,-0.00011318922
scores__family,-0.0039892197
scores__fashion_style,0.0019614697
scores__film_tv_video,0.0004748702
scores__fitness_&_health,-0.01632917
scores__food_&_dining,0.0011029243
scores__gaming,0.0026474
scores__learning_educational,-0.0033359528
scores__music,-0.0019770265
scores__other_hobbies,0.0012075305
scores__relationships,0.0012052655
scores__science_technology,0.003540516
scores__sports,-0.0021429658
scores__travel_adventure,0.00063580275
scores__youth_student_life,-0.0022850037
binary__is_trading_day,0.00016540289
counts__tweet_count,-0.002168119
counts__nlp_tweet_count,-0.0032933354
counts__tesla,0.0029751062
counts__stock,0.0
counts__market,0.0
counts__price,-0.0006914735
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,0.0030263662
counts__model,0.0010685325
counts__cybertruck,0.0
counts__starship,0.0
counts__buy,0.0028356314
counts__sell,0.0037782192
counts__likeCount,-0.00592649
counts__quoteCount,-0.002726972
counts__retweetCount,-0.005688727
counts__replyCount,-0.014622211
scores__neg,0.0058440566
scores__neu,0.0448398
scores__pos,-0.0022695065
scores__anger,-0.020687163
scores__disgust,-0.004375398
scores__fear,-0.0017908812
scores__joy,0.0036882162
scores__neutral,-0.0076482296
scores__sadness,-0.0013138056
scores__surprise,0.00582844
scores__news_social_concern,0.03373593
binary__no_tweets,0.011899531
