feature,importance
counts__nasdaq_stockprice,-0.026191711
counts__nasdaq_volume,0.017318726
counts__nasdaq_volatility,0.0072402954
counts__nasdaq_volatility_std_10,0.20516968
counts__nasdaq_avg_volume_20,0.02192688
counts__nasdaq_volume_spike_20,-0.010276794
counts__nasdaq_stockprice_sma_20,0.00047302246
counts__nasdaq_stockprice_ema_26,-0.015113831
counts__nasdaq_stockprice_macd_line,0.06594086
counts__nasdaq_stockprice_rsi_14,-0.004951477
counts__nasdaq_stockprice_bb_mean_20,0.013519287
counts__nasdaq_stockprice_bb_upper_20,-0.083229065
counts__nasdaq_stockprice_bb_lower_20,-0.035346985
counts__nasdaq_dx_14,-0.015174866
counts__nasdaq_adx_14,0.018287659
counts__nasdaq_stoch_d_3,0.06122589
counts__nasdaq_obv,0.022453308
counts__nasdaq_stockprice_momentum_21,-0.021873474
scores__Extroversion,0.0067214966
scores__Neuroticism,0.038780212
scores__Agreeableness,0.059440613
scores__Conscientiousness,0.005332947
scores__Openness,0.034736633
scores__arts_culture,-0.0027770996
scores__business_entrepreneurs,0.002494812
scores__celebrity_pop_culture,-0.034446716
scores__diaries_daily_life,-0.19703674
scores__family,0.07564545
scores__fashion_style,0.051872253
scores__film_tv_video,0.13007355
scores__fitness_&_health,-0.13044739
scores__food_&_dining,-0.01007843
scores__gaming,-0.15281677
scores__learning_educational,-0.11971283
scores__music,-0.020462036
scores__other_hobbies,-0.10128784
scores__relationships,-0.047546387
scores__science_technology,-0.11438751
scores__sports,-0.068870544
scores__travel_adventure,-0.04082489
scores__youth_student_life,-0.26358032
binary__is_trading_day,-0.05996704
counts__tweet_count,-0.31907654
counts__nlp_tweet_count,0.048858643
counts__tesla,0.53067017
counts__stock,-0.17342377
counts__market,0.04572296
counts__price,0.011001587
counts__profit,0.00315094
counts__loss,0.0052108765
counts__revenue,-0.0055618286
counts__inflation,0.014427185
counts__interest,-0.03049469
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,0.015571594
counts__model,-0.015213013
counts__cybertruck,0.008361816
counts__starship,0.023246765
counts__buy,-0.008514404
counts__sell,-0.029006958
counts__likeCount,-0.032699585
counts__quoteCount,0.020439148
counts__retweetCount,-0.059379578
counts__replyCount,-0.008834839
scores__neg,0.15007782
scores__neu,-0.5809326
scores__pos,0.1298294
scores__anger,0.27737427
scores__disgust,-0.0034561157
scores__fear,0.066856384
scores__joy,-0.06980896
scores__neutral,-0.023391724
scores__sadness,-0.7298584
scores__surprise,-0.6045151
scores__news_social_concern,-0.4006424
binary__no_tweets,0.0
