feature,importance
counts__sp500_stockprice,0.016139507
counts__sp500_volume,0.035595894
counts__sp500_volatility,0.012018681
counts__sp500_volatility_std_10,-0.00025558472
counts__sp500_avg_volume_20,-0.0030465126
counts__sp500_volume_spike_20,0.0060338974
counts__sp500_stockprice_sma_20,0.019223213
counts__sp500_stockprice_ema_26,-0.0030884743
counts__sp500_stockprice_macd_line,0.032388687
counts__sp500_stockprice_rsi_14,0.024713516
counts__sp500_stockprice_bb_mean_20,-0.017470837
counts__sp500_stockprice_bb_upper_20,-0.0004787445
counts__sp500_stockprice_bb_lower_20,0.024789333
counts__sp500_dx_14,-0.0023422241
counts__sp500_adx_14,-0.026810646
counts__sp500_stoch_d_3,-0.011503696
counts__sp500_obv,-0.0031166077
counts__sp500_stockprice_momentum_21,0.04814434
scores__Extroversion,0.035090923
scores__Neuroticism,-0.00069618225
scores__Agreeableness,-0.031656742
scores__Conscientiousness,0.007687092
scores__Openness,-0.0038685799
scores__arts_culture,0.025853634
scores__business_entrepreneurs,0.067231655
scores__celebrity_pop_culture,0.048175335
scores__diaries_daily_life,-0.027395725
scores__family,0.010710716
scores__fashion_style,0.007235527
scores__film_tv_video,0.16239977
scores__fitness_&_health,0.10464573
scores__food_&_dining,-0.024749279
scores__gaming,0.061515808
scores__learning_educational,-0.07216501
scores__music,-0.0050344467
scores__other_hobbies,-0.107634544
scores__relationships,-0.049538136
scores__science_technology,-0.024309158
scores__sports,0.052310944
scores__travel_adventure,0.0675478
scores__youth_student_life,0.09386778
binary__is_trading_day,-0.024799824
counts__tweet_count,0.027915478
counts__nlp_tweet_count,0.019611359
counts__tesla,0.020514488
counts__stock,0.12714529
counts__market,0.006299019
counts__price,-0.0007352829
counts__profit,-0.02210188
counts__loss,-0.0022702217
counts__revenue,-0.013831615
counts__inflation,0.0007195473
counts__interest,0.02036333
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,-0.00021076202
counts__model,0.0033278465
counts__cybertruck,-0.006140232
counts__starship,-0.0012550354
counts__buy,-0.0016345978
counts__sell,0.0070552826
counts__likeCount,-0.009644985
counts__quoteCount,0.0023117065
counts__retweetCount,0.022144318
counts__replyCount,-0.011888504
scores__neg,0.35408735
scores__neu,-0.066414356
scores__pos,0.0376544
scores__anger,-0.077269554
scores__disgust,-0.06817913
scores__fear,0.0058608055
scores__joy,-0.10751009
scores__neutral,0.18644619
scores__sadness,-0.046710968
scores__surprise,0.058128834
scores__news_social_concern,0.13967085
binary__no_tweets,0.0
