feature,importance
counts__sp500_stockprice,-0.02270317
counts__sp500_volume,0.0173378
counts__sp500_volatility,0.0018463135
counts__sp500_volatility_std_10,0.0064430237
counts__sp500_avg_volume_20,0.0039520264
counts__sp500_volume_spike_20,-0.0057144165
counts__sp500_stockprice_sma_20,0.025791168
counts__sp500_stockprice_ema_26,-0.003927231
counts__sp500_stockprice_macd_line,0.0067653656
counts__sp500_stockprice_rsi_14,0.1319561
counts__sp500_stockprice_bb_mean_20,0.02473259
counts__sp500_stockprice_bb_upper_20,0.00970459
counts__sp500_stockprice_bb_lower_20,-0.0031490326
counts__sp500_dx_14,0.024187088
counts__sp500_adx_14,0.079107285
counts__sp500_stoch_d_3,0.40520477
counts__sp500_obv,-0.0002117157
counts__sp500_stockprice_momentum_21,0.020116806
scores__Extroversion,0.0031700134
scores__Neuroticism,0.0035266876
scores__Agreeableness,-0.004350662
scores__Conscientiousness,0.00011253357
scores__Openness,-0.0043354034
scores__arts_culture,-0.020204544
scores__business_entrepreneurs,0.019260406
scores__celebrity_pop_culture,0.020755768
scores__diaries_daily_life,-0.004793167
scores__family,-0.011211395
scores__fashion_style,-0.012493134
scores__film_tv_video,-0.00020980835
scores__fitness_&_health,-0.053489685
scores__food_&_dining,-0.031167984
scores__gaming,-0.00022697449
scores__learning_educational,-0.03813362
scores__music,0.0099487305
scores__other_hobbies,0.046880722
scores__relationships,-0.025835037
scores__science_technology,0.05685234
scores__sports,0.0780735
scores__travel_adventure,0.02013588
scores__youth_student_life,-0.048921585
binary__is_trading_day,0.0030784607
counts__tweet_count,-0.024888992
counts__nlp_tweet_count,0.010520935
counts__tesla,0.0038089752
counts__stock,-0.00765419
counts__market,-0.0010852814
counts__price,0.0038700104
counts__profit,0.007062912
counts__loss,-0.0151577
counts__revenue,-0.0097904205
counts__inflation,-0.025714874
counts__interest,0.090675354
counts__bitcoin,-0.0004749298
counts__dogecoin,0.0052890778
counts__crypto,0.006471634
counts__ethereum,0.0
counts__spacex,0.0019741058
counts__model,0.0023708344
counts__cybertruck,-0.006593704
counts__starship,-0.01625824
counts__buy,0.01688385
counts__sell,-0.0073509216
counts__likeCount,0.0061855316
counts__quoteCount,0.009525299
counts__retweetCount,0.04899597
counts__replyCount,-0.027048111
scores__neg,0.021429062
scores__neu,-0.023765564
scores__pos,-0.015043259
scores__anger,0.0046653748
scores__disgust,-0.018108368
scores__fear,-0.0066452026
scores__joy,0.0019283295
scores__neutral,-0.028102875
scores__sadness,0.010637283
scores__surprise,-0.020750046
scores__news_social_concern,-0.06239891
binary__no_tweets,-0.00020980835
