feature,importance
counts__sp500_stockprice,-0.18933868
counts__sp500_volume,0.198349
counts__sp500_volatility,-0.16563416
counts__sp500_volatility_std_10,0.00969696
counts__sp500_avg_volume_20,-0.03227234
counts__sp500_volume_spike_20,0.1112175
counts__sp500_stockprice_sma_20,0.12980652
counts__sp500_stockprice_ema_26,0.24149704
counts__sp500_stockprice_macd_line,-0.30171967
counts__sp500_stockprice_rsi_14,0.35896683
counts__sp500_stockprice_bb_mean_20,0.26842117
counts__sp500_stockprice_bb_upper_20,0.3950119
counts__sp500_stockprice_bb_lower_20,-0.00015640259
counts__sp500_dx_14,-0.28186798
counts__sp500_adx_14,-0.015018463
counts__sp500_stoch_d_3,0.23754883
counts__sp500_obv,-0.16905594
counts__sp500_stockprice_momentum_21,0.04670334
scores__Extroversion,-0.13443756
scores__Neuroticism,-0.0038261414
scores__Agreeableness,-0.098651886
scores__Conscientiousness,0.0500679
scores__Openness,-0.05750656
scores__arts_culture,0.30792618
scores__business_entrepreneurs,0.13192368
scores__celebrity_pop_culture,0.025341034
scores__diaries_daily_life,0.027145386
scores__family,-0.06971741
scores__fashion_style,1.8100929
scores__film_tv_video,0.07556534
scores__fitness_&_health,5.565628
scores__food_&_dining,-0.009380341
scores__gaming,-0.061332703
scores__learning_educational,0.11111069
scores__music,0.57373047
scores__other_hobbies,-0.6801605
scores__relationships,-0.10384369
scores__science_technology,-0.28873825
scores__sports,0.15190506
scores__travel_adventure,-0.47041702
scores__youth_student_life,0.0816803
binary__is_trading_day,0.3405075
counts__tweet_count,0.024055481
counts__nlp_tweet_count,0.054725647
counts__tesla,0.04718399
counts__stock,0.0
counts__market,0.0
counts__price,-0.0026741028
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,-0.018348694
counts__model,0.002216339
counts__cybertruck,0.0
counts__starship,0.0
counts__buy,0.0010910034
counts__sell,0.15799713
counts__likeCount,-0.0042381287
counts__quoteCount,0.29719162
counts__retweetCount,0.08571625
counts__replyCount,0.5982399
scores__neg,0.6013298
scores__neu,0.022758484
scores__pos,0.11518097
scores__anger,0.095947266
scores__disgust,-0.24663162
scores__fear,-0.16583633
scores__joy,-0.026248932
scores__neutral,-0.16628265
scores__sadness,0.06655502
scores__surprise,0.7405586
scores__news_social_concern,-0.23017883
binary__no_tweets,-0.20932388
