feature,importance
counts__sp500_stockprice,-0.050354004
counts__sp500_volume,3.144165
counts__sp500_volatility,0.00076293945
counts__sp500_volatility_std_10,0.027252197
counts__sp500_avg_volume_20,0.1835022
counts__sp500_volume_spike_20,2.6167297
counts__sp500_stockprice_sma_20,-0.1991272
counts__sp500_stockprice_ema_26,0.060272217
counts__sp500_stockprice_macd_line,0.20767212
counts__sp500_stockprice_rsi_14,0.0063476562
counts__sp500_stockprice_bb_mean_20,0.07543945
counts__sp500_stockprice_bb_upper_20,0.07461548
counts__sp500_stockprice_bb_lower_20,0.016937256
counts__sp500_dx_14,-0.00018310547
counts__sp500_adx_14,0.105773926
counts__sp500_stoch_d_3,-0.08862305
counts__sp500_obv,0.04171753
counts__sp500_stockprice_momentum_21,-0.20574951
scores__Extroversion,0.4045105
scores__Neuroticism,-0.91915894
scores__Agreeableness,-0.870697
scores__Conscientiousness,-0.0018310547
scores__Openness,0.1586914
scores__arts_culture,-1.7656555
scores__business_entrepreneurs,-5.1131897
scores__celebrity_pop_culture,0.7866516
scores__diaries_daily_life,1.9959106
scores__family,1.4743347
scores__fashion_style,-1.2588501
scores__film_tv_video,1.0392761
scores__fitness_&_health,-1.6617432
scores__food_&_dining,2.225647
scores__gaming,2.6340027
scores__learning_educational,-1.5910645
scores__music,-0.7423706
scores__other_hobbies,-2.4884338
scores__relationships,1.7246399
scores__science_technology,1.1011963
scores__sports,1.5506897
scores__travel_adventure,1.6599731
scores__youth_student_life,-0.53775024
binary__is_trading_day,1.2627563
counts__tweet_count,0.1394043
counts__nlp_tweet_count,0.033111572
counts__tesla,-0.50839233
counts__stock,0.053649902
counts__market,-0.02029419
counts__price,-0.022460938
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.14614868
counts__inflation,1.1611633
counts__interest,-0.0073242188
counts__bitcoin,-0.0037841797
counts__dogecoin,-0.23260498
counts__crypto,-0.012634277
counts__ethereum,0.070495605
counts__spacex,-0.3922119
counts__model,-0.018432617
counts__cybertruck,-0.023345947
counts__starship,0.42007446
counts__buy,1.2022705
counts__sell,0.19680786
counts__likeCount,0.14331055
counts__quoteCount,-0.1430664
counts__retweetCount,0.90756226
counts__replyCount,0.258667
scores__neg,1.8197632
scores__neu,0.0763855
scores__pos,-2.094696
scores__anger,-4.831665
scores__disgust,-0.120147705
scores__fear,1.9221802
scores__joy,3.4161072
scores__neutral,-2.7700195
scores__sadness,1.0460205
scores__surprise,-5.3219604
scores__news_social_concern,-6.1904907
binary__no_tweets,0.063934326
