feature,importance
counts__tesla_stockprice,0.0005683899
counts__tesla_volume,-0.0024528503
counts__tesla_volatility,-0.00071907043
counts__tesla_volatility_std_10,-0.0008983612
counts__tesla_avg_volume_20,0.0010128021
counts__tesla_volume_spike_20,-0.00040245056
counts__tesla_stockprice_sma_20,0.008983612
counts__tesla_stockprice_ema_26,0.0035133362
counts__tesla_stockprice_macd_line,-0.002313614
counts__tesla_stockprice_rsi_14,-0.0088272095
counts__tesla_stockprice_bb_mean_20,-0.0008735657
counts__tesla_stockprice_bb_upper_20,-0.0010643005
counts__tesla_stockprice_bb_lower_20,0.0021247864
counts__tesla_dx_14,0.0032539368
counts__tesla_adx_14,-0.0013942719
counts__tesla_stoch_d_3,0.0044784546
counts__tesla_obv,-0.0006389618
counts__tesla_stockprice_momentum_21,0.010108948
scores__Extroversion,0.006788254
scores__Neuroticism,-0.012271881
scores__Agreeableness,0.022031784
scores__Conscientiousness,0.015329361
scores__Openness,-0.0027828217
scores__arts_culture,-0.009490967
scores__business_entrepreneurs,0.0056171417
scores__celebrity_pop_culture,0.0038318634
scores__diaries_daily_life,-0.011413574
scores__family,-0.02321434
scores__fashion_style,-0.036424637
scores__film_tv_video,-0.024456024
scores__fitness_&_health,0.20349884
scores__food_&_dining,0.026748657
scores__gaming,-1.335144e-05
scores__learning_educational,-0.0012931824
scores__music,0.10709953
scores__other_hobbies,-0.0291996
scores__relationships,-0.0075359344
scores__science_technology,0.032144547
scores__sports,-0.00018692017
scores__travel_adventure,0.018728256
scores__youth_student_life,0.044485092
binary__is_trading_day,0.006193161
counts__tweet_count,-0.007221222
counts__nlp_tweet_count,0.020780563
counts__tesla,0.010633469
counts__stock,0.0
counts__market,0.0
counts__price,0.00066947937
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,-0.010574341
counts__model,-0.0016384125
counts__cybertruck,0.0
counts__starship,0.0
counts__buy,0.001947403
counts__sell,-0.0025939941
counts__likeCount,0.06541824
counts__quoteCount,0.023704529
counts__retweetCount,0.025115967
counts__replyCount,0.009479523
scores__neg,-0.04073906
scores__neu,-0.09959602
scores__pos,0.32076454
scores__anger,-0.04307747
scores__disgust,0.03100586
scores__fear,0.06684303
scores__joy,0.029457092
scores__neutral,-0.009721756
scores__sadness,0.05805397
scores__surprise,-0.008808136
scores__news_social_concern,-0.1970501
binary__no_tweets,-0.009782791
