feature,importance
counts__tesla_stockprice,0.82940674
counts__tesla_volume,4.984253
counts__tesla_volatility,0.69885254
counts__tesla_volatility_std_10,-0.15930176
counts__tesla_avg_volume_20,0.90252686
counts__tesla_volume_spike_20,6.876953
counts__tesla_stockprice_sma_20,0.1296997
counts__tesla_stockprice_ema_26,-0.378479
counts__tesla_stockprice_macd_line,-0.5310669
counts__tesla_stockprice_rsi_14,0.0211792
counts__tesla_stockprice_bb_mean_20,0.15863037
counts__tesla_stockprice_bb_upper_20,1.4539795
counts__tesla_stockprice_bb_lower_20,0.015197754
counts__tesla_dx_14,-0.38000488
counts__tesla_adx_14,-0.46002197
counts__tesla_stoch_d_3,-1.5785522
counts__tesla_obv,0.07208252
counts__tesla_stockprice_momentum_21,-3.031311
scores__Extroversion,0.27288818
scores__Neuroticism,0.06561279
scores__Agreeableness,-0.04736328
scores__Conscientiousness,-0.10949707
scores__Openness,0.16918945
scores__arts_culture,-1.9978638
scores__business_entrepreneurs,1.9029541
scores__celebrity_pop_culture,-2.1170654
scores__diaries_daily_life,-0.46551514
scores__family,1.0011597
scores__fashion_style,-0.40795898
scores__film_tv_video,0.024658203
scores__fitness_&_health,1.0809937
scores__food_&_dining,-0.19647217
scores__gaming,0.15344238
scores__learning_educational,-4.0772705
scores__music,1.0089722
scores__other_hobbies,-1.3276367
scores__relationships,-0.97265625
scores__science_technology,0.68066406
scores__sports,0.93011475
scores__travel_adventure,-0.88409424
scores__youth_student_life,-0.6442261
binary__is_trading_day,0.0949707
counts__tweet_count,0.6375122
counts__nlp_tweet_count,1.1624146
counts__tesla,0.56414795
counts__stock,0.2682495
counts__market,-0.36151123
counts__price,0.06188965
counts__profit,0.042236328
counts__loss,0.29248047
counts__revenue,0.62750244
counts__inflation,0.24017334
counts__interest,-0.025512695
counts__bitcoin,0.0056762695
counts__dogecoin,0.0032958984
counts__crypto,-0.024475098
counts__ethereum,0.0
counts__spacex,0.023620605
counts__model,0.08276367
counts__cybertruck,0.6278076
counts__starship,0.10272217
counts__buy,-1.3179932
counts__sell,0.0769043
counts__likeCount,-0.13250732
counts__quoteCount,0.1809082
counts__retweetCount,1.4020386
counts__replyCount,-0.7050781
scores__neg,0.13604736
scores__neu,0.29431152
scores__pos,-1.0958252
scores__anger,0.20263672
scores__disgust,0.17071533
scores__fear,1.1447144
scores__joy,0.77874756
scores__neutral,0.07946777
scores__sadness,-2.192505
scores__surprise,-0.20275879
scores__news_social_concern,0.44812012
binary__no_tweets,-0.009460449
