asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.6632653061224489,0.6732673267326733
tesla,change_stockprice,phase2,0.6907894736842105,0.718562874251497
tesla,change_stockprice,phase3,0.6823529411764706,0.7032967032967034
tesla,change_stockprice,phase4,0.5666666666666667,0.0
tesla,change_stockprice,full,0.6530612244897959,0.6198083067092651
tesla,change_volume,phase1,0.48091603053435117,0.6136363636363636
tesla,change_volume,phase2,0.5485714285714286,0.5586592178770949
tesla,change_volume,phase3,0.5520833333333334,0.37681159420289856
tesla,change_volume,phase4,0.5714285714285714,0.0
tesla,change_volume,full,0.5934343434343434,0.513595166163142
tesla,change_volatility,phase1,0.5777777777777777,0.5128205128205128
tesla,change_volatility,phase2,0.5327868852459017,0.5128205128205128
tesla,change_volatility,phase3,0.5633802816901409,0.6868686868686869
tesla,change_volatility,phase4,0.6,0.0
tesla,change_volatility,full,0.5708812260536399,0.5851851851851851
sp500,change_stockprice,phase1,0.6976744186046512,0.8169014084507042
sp500,change_stockprice,phase2,0.6717557251908397,0.7152317880794702
sp500,change_stockprice,phase3,0.6557377049180327,0.6440677966101694
sp500,change_stockprice,phase4,0.631578947368421,0.7741935483870968
sp500,change_stockprice,full,0.7219512195121951,0.7816091954022989
sp500,change_volume,phase1,0.5867768595041323,0.45652173913043476
sp500,change_volume,phase2,0.5833333333333334,0.4696969696969697
sp500,change_volume,phase3,0.5151515151515151,0.6363636363636364
sp500,change_volume,phase4,0.5277777777777778,0.0
sp500,change_volume,full,0.5721649484536082,0.37593984962406013
sp500,change_volatility,phase1,0.6375,0.7289719626168224
sp500,change_volatility,phase2,0.5806451612903226,0.6829268292682927
sp500,change_volatility,phase3,0.7166666666666667,0.746268656716418
sp500,change_volatility,phase4,0.3,0.46153846153846156
sp500,change_volatility,full,0.6162361623616236,0.6258992805755396
nasdaq,change_stockprice,phase1,0.6607142857142857,0.7816091954022989
nasdaq,change_stockprice,phase2,0.6474820143884892,0.6797385620915033
nasdaq,change_stockprice,phase3,0.6764705882352942,0.7555555555555555
nasdaq,change_stockprice,phase4,0.43478260869565216,0.0
nasdaq,change_stockprice,full,0.7154471544715447,0.7770700636942676
nasdaq,change_volume,phase1,0.6349206349206349,0.6166666666666667
nasdaq,change_volume,phase2,0.6235294117647059,0.6521739130434783
nasdaq,change_volume,phase3,0.66,0.66
nasdaq,change_volume,phase4,0.5142857142857142,0.0
nasdaq,change_volume,full,0.5623409669211196,0.3228346456692913
nasdaq,change_volatility,phase1,0.6625,0.7157894736842105
nasdaq,change_volatility,phase2,0.576,0.6666666666666666
nasdaq,change_volatility,phase3,0.5970149253731343,0.5846153846153846
nasdaq,change_volatility,phase4,0.6,0.0
nasdaq,change_volatility,full,0.5978260869565217,0.6542056074766355
bitcoin,change_stockprice,phase1,0.47058823529411764,0.4
bitcoin,change_stockprice,phase2,0.5806451612903226,0.5560975609756098
bitcoin,change_stockprice,phase3,0.49038461538461536,0.4175824175824176
bitcoin,change_stockprice,phase4,0.5,0.0
bitcoin,change_stockprice,full,0.6244541484716157,0.6532258064516129
bitcoin,change_volume,phase1,0.532258064516129,0.6027397260273972
bitcoin,change_volume,phase2,0.5928853754940712,0.48756218905472637
bitcoin,change_volume,phase3,0.5578231292517006,0.6242774566473989
bitcoin,change_volume,phase4,0.5185185185185185,0.0
bitcoin,change_volume,full,0.5969125214408233,0.5506692160611855
bitcoin,change_volatility,phase1,0.5121951219512195,0.6296296296296297
bitcoin,change_volatility,phase2,0.5508982035928144,0.42748091603053434
bitcoin,change_volatility,phase3,0.6,0.3939393939393939
bitcoin,change_volatility,phase4,0.5,0.0
bitcoin,change_volatility,full,0.5558252427184466,0.34408602150537637
