feature,importance
counts__bitcoin_stockprice,0.0015554428
counts__bitcoin_volume,0.0043382645
counts__bitcoin_volatility,0.026525497
counts__bitcoin_volatility_std_10,0.030000687
counts__bitcoin_avg_volume_20,0.0010509491
counts__bitcoin_volume_spike_20,0.034695625
counts__bitcoin_stockprice_sma_20,-0.0023288727
counts__bitcoin_stockprice_ema_26,-0.003191948
counts__bitcoin_stockprice_macd_line,0.00091362
counts__bitcoin_stockprice_rsi_14,-0.01717949
counts__bitcoin_stockprice_bb_mean_20,0.002913475
counts__bitcoin_stockprice_bb_upper_20,0.0063476562
counts__bitcoin_stockprice_bb_lower_20,-0.0033960342
counts__bitcoin_dx_14,-0.019450188
counts__bitcoin_adx_14,0.019703865
counts__bitcoin_stoch_d_3,0.0075159073
counts__bitcoin_obv,-9.536743e-06
counts__bitcoin_stockprice_momentum_21,0.02769947
scores__Extroversion,-0.021198273
scores__Neuroticism,0.01859951
scores__Agreeableness,-0.0705843
scores__Conscientiousness,-0.003200531
scores__Openness,-0.035144806
scores__arts_culture,0.032403946
scores__business_entrepreneurs,0.035176277
scores__celebrity_pop_culture,-0.026323318
scores__diaries_daily_life,0.034975052
scores__family,-0.021564484
scores__fashion_style,-0.0076293945
scores__film_tv_video,0.07500553
scores__fitness_&_health,0.30529976
scores__food_&_dining,-0.06854248
scores__gaming,-0.14362717
scores__learning_educational,-0.14012241
scores__music,-0.0045671463
scores__other_hobbies,-0.13856411
scores__relationships,-0.094944954
scores__science_technology,-0.056001663
scores__sports,0.012888908
scores__travel_adventure,0.07968998
scores__youth_student_life,0.54132843
binary__is_trading_day,-0.02584362
counts__tweet_count,-0.10788822
counts__nlp_tweet_count,0.04559326
counts__tesla,-0.08928013
counts__stock,0.023378372
counts__market,0.05838871
counts__price,0.004029274
counts__profit,0.043868065
counts__loss,-0.03523922
counts__revenue,0.012059212
counts__inflation,-0.008067131
counts__interest,0.0319767
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,0.012454987
counts__model,-0.054862022
counts__cybertruck,0.008441925
counts__starship,-0.0048217773
counts__buy,0.02494812
counts__sell,-0.14282036
counts__likeCount,0.012008667
counts__quoteCount,0.048823357
counts__retweetCount,-0.01672268
counts__replyCount,0.020108223
scores__neg,0.42335892
scores__neu,-0.31653118
scores__pos,-0.020775795
scores__anger,-0.004504204
scores__disgust,0.32924938
scores__fear,-0.093473434
scores__joy,0.14865303
scores__neutral,0.3736744
scores__sadness,-0.0061626434
scores__surprise,-0.113069534
scores__news_social_concern,0.8555641
binary__no_tweets,0.0
