feature,importance
counts__bitcoin_stockprice,-0.11237717
counts__bitcoin_volume,-0.009979248
counts__bitcoin_volatility,0.103191376
counts__bitcoin_volatility_std_10,0.009311676
counts__bitcoin_avg_volume_20,0.018562317
counts__bitcoin_volume_spike_20,0.018932343
counts__bitcoin_stockprice_sma_20,-0.058906555
counts__bitcoin_stockprice_ema_26,-0.11659241
counts__bitcoin_stockprice_macd_line,0.014324188
counts__bitcoin_stockprice_rsi_14,0.0779953
counts__bitcoin_stockprice_bb_mean_20,-0.13778305
counts__bitcoin_stockprice_bb_upper_20,-0.057670593
counts__bitcoin_stockprice_bb_lower_20,-0.12563705
counts__bitcoin_dx_14,0.13803482
counts__bitcoin_adx_14,-0.031665802
counts__bitcoin_stoch_d_3,0.24017334
counts__bitcoin_obv,-0.03835678
counts__bitcoin_stockprice_momentum_21,0.0015220642
scores__Extroversion,-0.0045661926
scores__Neuroticism,-0.019546509
scores__Agreeableness,-0.0020065308
scores__Conscientiousness,0.00025177002
scores__Openness,0.020641327
scores__arts_culture,-0.04970932
scores__business_entrepreneurs,0.09967041
scores__celebrity_pop_culture,-0.018447876
scores__diaries_daily_life,0.10309601
scores__family,-0.018104553
scores__fashion_style,0.078178406
scores__film_tv_video,-0.06359863
scores__fitness_&_health,-0.12189865
scores__food_&_dining,-0.16294861
scores__gaming,0.6029396
scores__learning_educational,-0.07331085
scores__music,0.19255066
scores__other_hobbies,-0.029109955
scores__relationships,0.11261368
scores__science_technology,-0.17238235
scores__sports,-0.2936859
scores__travel_adventure,-0.012752533
scores__youth_student_life,-0.0424881
binary__is_trading_day,0.2711792
counts__tweet_count,-0.34301376
counts__nlp_tweet_count,-0.17604065
counts__tesla,-0.037345886
counts__stock,-0.001121521
counts__market,-0.023513794
counts__price,-0.009002686
counts__profit,0.019168854
counts__loss,-0.0008277893
counts__revenue,-0.00091171265
counts__inflation,0.013435364
counts__interest,-0.050933838
counts__bitcoin,-0.004196167
counts__dogecoin,-0.0002708435
counts__crypto,-0.0011062622
counts__ethereum,0.0
counts__spacex,0.008014679
counts__model,-0.0059394836
counts__cybertruck,0.047416687
counts__starship,-0.017238617
counts__buy,-0.024318695
counts__sell,0.007019043
counts__likeCount,0.10967255
counts__quoteCount,0.13203812
counts__retweetCount,-0.1083107
counts__replyCount,-0.052978516
scores__neg,-0.16106033
scores__neu,0.16246414
scores__pos,-0.02842331
scores__anger,0.35945892
scores__disgust,-0.72472
scores__fear,0.16201401
scores__joy,-0.24340057
scores__neutral,-0.27090836
scores__sadness,0.38300705
scores__surprise,-0.11271286
scores__news_social_concern,-0.10228348
binary__no_tweets,0.001461029
