feature,importance
counts__bitcoin_stockprice,0.006919861
counts__bitcoin_volume,0.011745453
counts__bitcoin_volatility,0.009653091
counts__bitcoin_volatility_std_10,0.23496819
counts__bitcoin_avg_volume_20,-0.0074653625
counts__bitcoin_volume_spike_20,0.012729645
counts__bitcoin_stockprice_sma_20,0.0107421875
counts__bitcoin_stockprice_ema_26,0.0031375885
counts__bitcoin_stockprice_macd_line,-0.021957397
counts__bitcoin_stockprice_rsi_14,-0.08073425
counts__bitcoin_stockprice_bb_mean_20,0.0046958923
counts__bitcoin_stockprice_bb_upper_20,0.0101184845
counts__bitcoin_stockprice_bb_lower_20,0.009876251
counts__bitcoin_dx_14,0.04878235
counts__bitcoin_adx_14,0.026432037
counts__bitcoin_stoch_d_3,-0.06836319
counts__bitcoin_obv,-0.0031757355
counts__bitcoin_stockprice_momentum_21,-0.0409832
scores__Extroversion,-0.04061699
scores__Neuroticism,0.61478615
scores__Agreeableness,-0.1617012
scores__Conscientiousness,0.6714401
scores__Openness,-0.005929947
scores__arts_culture,-0.107910156
scores__business_entrepreneurs,-0.3940773
scores__celebrity_pop_culture,-0.060113907
scores__diaries_daily_life,-0.017642975
scores__family,0.0013046265
scores__fashion_style,-0.2069645
scores__film_tv_video,0.12220764
scores__fitness_&_health,-0.27765846
scores__food_&_dining,0.011297226
scores__gaming,0.00063705444
scores__learning_educational,-0.51722336
scores__music,-0.012298584
scores__other_hobbies,-0.23602295
scores__relationships,-0.09422493
scores__science_technology,-0.009672165
scores__sports,0.0021591187
scores__travel_adventure,0.23491287
scores__youth_student_life,-0.24840355
binary__is_trading_day,0.10292816
counts__tweet_count,-0.026309967
counts__nlp_tweet_count,-0.049783707
counts__tesla,-0.43676186
counts__stock,0.093193054
counts__market,0.010057449
counts__price,0.012489319
counts__profit,0.018350601
counts__loss,0.010429382
counts__revenue,0.017778397
counts__inflation,-0.008266449
counts__interest,0.017837524
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,0.02905655
counts__model,0.14297867
counts__cybertruck,2.4795532e-05
counts__starship,-0.0012111664
counts__buy,0.020742416
counts__sell,0.016296387
counts__likeCount,0.12583733
counts__quoteCount,-0.17665863
counts__retweetCount,-0.06357765
counts__replyCount,0.017837524
scores__neg,-0.23223114
scores__neu,0.33138084
scores__pos,0.87640953
scores__anger,0.05386734
scores__disgust,1.9125462
scores__fear,-0.09274292
scores__joy,0.3576107
scores__neutral,0.6217861
scores__sadness,-0.12404442
scores__surprise,-0.14078331
scores__news_social_concern,0.09325218
binary__no_tweets,0.0
