feature,importance
counts__nasdaq_stockprice,0.0012809038
counts__nasdaq_volume,-0.000315547
counts__nasdaq_volatility,-0.000106453896
counts__nasdaq_volatility_std_10,0.0002603531
counts__nasdaq_avg_volume_20,-0.0018661022
counts__nasdaq_volume_spike_20,-0.00015795231
counts__nasdaq_stockprice_sma_20,0.00053858757
counts__nasdaq_stockprice_ema_26,0.00054717064
counts__nasdaq_stockprice_macd_line,0.0006380081
counts__nasdaq_stockprice_rsi_14,0.0009185076
counts__nasdaq_stockprice_bb_mean_20,-1.5974045e-05
counts__nasdaq_stockprice_bb_upper_20,-0.00029277802
counts__nasdaq_stockprice_bb_lower_20,-0.00025093555
counts__nasdaq_dx_14,0.000441432
counts__nasdaq_adx_14,0.00049614906
counts__nasdaq_stoch_d_3,0.00036036968
counts__nasdaq_obv,0.0012652874
counts__nasdaq_stockprice_momentum_21,0.00010955334
scores__Extroversion,0.00021529198
scores__Neuroticism,-2.1457672e-05
scores__Agreeableness,0.00045728683
scores__Conscientiousness,-0.00033473969
scores__Openness,0.00021922588
scores__arts_culture,-0.00077342987
scores__business_entrepreneurs,-0.001175642
scores__celebrity_pop_culture,0.0029587746
scores__diaries_daily_life,-0.0006881952
scores__family,-0.0017402172
scores__fashion_style,-0.0023143291
scores__film_tv_video,0.0012757778
scores__fitness_&_health,-0.0015707016
scores__food_&_dining,-0.00025188923
scores__gaming,-0.00047266483
scores__learning_educational,0.0021407604
scores__music,-0.00052273273
scores__other_hobbies,0.0010968447
scores__relationships,0.00016331673
scores__science_technology,-0.00055527687
scores__sports,0.0013780594
scores__travel_adventure,0.0011339188
scores__youth_student_life,-0.0029900074
binary__is_trading_day,0.00075399876
counts__tweet_count,-0.00046384335
counts__nlp_tweet_count,0.0003976822
counts__tesla,-7.998943e-05
counts__stock,0.001439333
counts__market,0.00023543835
counts__price,-7.557869e-05
counts__profit,0.00022780895
counts__loss,-0.00026106834
counts__revenue,0.00033843517
counts__inflation,0.0020420551
counts__interest,0.0034579039
counts__bitcoin,-3.7312508e-05
counts__dogecoin,-0.00069856644
counts__crypto,1.1920929e-06
counts__ethereum,0.0
counts__spacex,-0.0005055666
counts__model,0.00018846989
counts__cybertruck,0.00073730946
counts__starship,0.00075519085
counts__buy,-0.0011601448
counts__sell,-0.0014097691
counts__likeCount,0.019650936
counts__quoteCount,0.005022049
counts__retweetCount,-0.0021574497
counts__replyCount,-0.01093924
scores__neg,0.0013999939
scores__neu,-0.002220869
scores__pos,-1.847744e-05
scores__anger,0.006192565
scores__disgust,-0.0037162304
scores__fear,-0.0033488274
scores__joy,-0.001038909
scores__neutral,0.00180614
scores__sadness,-0.0054278374
scores__surprise,0.005704403
scores__news_social_concern,0.0077519417
binary__no_tweets,0.00011372566
