feature,importance
counts__nasdaq_stockprice,0.0063877106
counts__nasdaq_volume,4.053116e-05
counts__nasdaq_volatility,0.0040311813
counts__nasdaq_volatility_std_10,-0.004486084
counts__nasdaq_avg_volume_20,-0.0019102097
counts__nasdaq_volume_spike_20,-0.0010690689
counts__nasdaq_stockprice_sma_20,-0.002501011
counts__nasdaq_stockprice_ema_26,-0.00031661987
counts__nasdaq_stockprice_macd_line,0.011890411
counts__nasdaq_stockprice_rsi_14,0.019053936
counts__nasdaq_stockprice_bb_mean_20,-0.00039482117
counts__nasdaq_stockprice_bb_upper_20,0.00014781952
counts__nasdaq_stockprice_bb_lower_20,0.0024547577
counts__nasdaq_dx_14,0.0015387535
counts__nasdaq_adx_14,0.003250599
counts__nasdaq_stoch_d_3,-0.0024337769
counts__nasdaq_obv,0.0010647774
counts__nasdaq_stockprice_momentum_21,0.021461964
scores__Extroversion,-0.0100746155
scores__Neuroticism,0.0033779144
scores__Agreeableness,-0.0009703636
scores__Conscientiousness,0.011630058
scores__Openness,-0.0069704056
scores__arts_culture,-0.0067076683
scores__business_entrepreneurs,-0.010983467
scores__celebrity_pop_culture,0.029210567
scores__diaries_daily_life,0.0018978119
scores__family,-0.008565903
scores__fashion_style,-0.006222248
scores__film_tv_video,-0.059038162
scores__fitness_&_health,0.0035529137
scores__food_&_dining,0.003947735
scores__gaming,0.013001919
scores__learning_educational,-0.011965275
scores__music,-0.027971745
scores__other_hobbies,-0.023150444
scores__relationships,0.0069117546
scores__science_technology,-0.045020103
scores__sports,-0.013597488
scores__travel_adventure,0.010317326
scores__youth_student_life,0.0051989555
binary__is_trading_day,-0.010461807
counts__tweet_count,-0.03158903
counts__nlp_tweet_count,-0.0034575462
counts__tesla,-0.028291702
counts__stock,-0.0022115707
counts__market,-0.015918732
counts__price,0.009732246
counts__profit,0.02299881
counts__loss,-0.0023908615
counts__revenue,-0.0057992935
counts__inflation,-0.0021543503
counts__interest,0.0047826767
counts__bitcoin,0.00055646896
counts__dogecoin,0.0
counts__crypto,-0.0039510727
counts__ethereum,0.0
counts__spacex,-0.010564804
counts__model,0.0026021004
counts__cybertruck,0.0029244423
counts__starship,-0.006348133
counts__buy,0.025235176
counts__sell,-0.0042819977
counts__likeCount,0.005359173
counts__quoteCount,0.0014986992
counts__retweetCount,0.0058555603
counts__replyCount,0.0012354851
scores__neg,-0.008256912
scores__neu,-0.0068707466
scores__pos,0.008997917
scores__anger,0.0074796677
scores__disgust,-0.045903683
scores__fear,0.01869011
scores__joy,0.007315159
scores__neutral,0.0063357353
scores__sadness,0.017555714
scores__surprise,0.030173302
scores__news_social_concern,-0.0479393
binary__no_tweets,0.0
