feature,importance
counts__nasdaq_stockprice,-0.00046539307
counts__nasdaq_volume,0.019872665
counts__nasdaq_volatility,-0.0002632141
counts__nasdaq_volatility_std_10,0.0040225983
counts__nasdaq_avg_volume_20,0.04491806
counts__nasdaq_volume_spike_20,0.001876831
counts__nasdaq_stockprice_sma_20,0.004524231
counts__nasdaq_stockprice_ema_26,0.0028247833
counts__nasdaq_stockprice_macd_line,0.096918106
counts__nasdaq_stockprice_rsi_14,0.055818558
counts__nasdaq_stockprice_bb_mean_20,0.0017948151
counts__nasdaq_stockprice_bb_upper_20,0.019985199
counts__nasdaq_stockprice_bb_lower_20,0.014299393
counts__nasdaq_dx_14,0.0442791
counts__nasdaq_adx_14,0.11454964
counts__nasdaq_stoch_d_3,0.30623245
counts__nasdaq_obv,0.007204056
counts__nasdaq_stockprice_momentum_21,0.024015427
scores__Extroversion,-0.0050907135
scores__Neuroticism,-0.005306244
scores__Agreeableness,-0.0031871796
scores__Conscientiousness,-0.005470276
scores__Openness,-0.0019035339
scores__arts_culture,-0.012693405
scores__business_entrepreneurs,-0.007839203
scores__celebrity_pop_culture,-0.0028419495
scores__diaries_daily_life,-0.0032634735
scores__family,-0.0026798248
scores__fashion_style,-0.005554199
scores__film_tv_video,-0.010511398
scores__fitness_&_health,0.027435303
scores__food_&_dining,0.05339241
scores__gaming,-0.0088272095
scores__learning_educational,0.04407692
scores__music,0.028985977
scores__other_hobbies,0.0011425018
scores__relationships,0.07725716
scores__science_technology,0.032636642
scores__sports,0.0735302
scores__travel_adventure,-0.0014038086
scores__youth_student_life,-0.008651733
binary__is_trading_day,-0.0035095215
counts__tweet_count,0.0045833588
counts__nlp_tweet_count,-0.016450882
counts__tesla,-0.013721466
counts__stock,0.0026607513
counts__market,0.003993988
counts__price,0.0016384125
counts__profit,0.001127243
counts__loss,-0.012248993
counts__revenue,-0.05586624
counts__inflation,0.018138885
counts__interest,0.01902771
counts__bitcoin,-1.5258789e-05
counts__dogecoin,-0.0005264282
counts__crypto,-0.0034370422
counts__ethereum,0.0
counts__spacex,-0.006767273
counts__model,-2.0980835e-05
counts__cybertruck,0.003976822
counts__starship,0.0015678406
counts__buy,-0.0036716461
counts__sell,0.010303497
counts__likeCount,0.06207657
counts__quoteCount,0.0098667145
counts__retweetCount,-0.02025032
counts__replyCount,0.0153541565
scores__neg,0.0055732727
scores__neu,0.0039310455
scores__pos,0.015287399
scores__anger,0.12656784
scores__disgust,-0.046409607
scores__fear,-0.0030021667
scores__joy,-0.006450653
scores__neutral,-0.0010375977
scores__sadness,0.023571014
scores__surprise,0.0023345947
scores__news_social_concern,-0.10081673
binary__no_tweets,0.002090454
