feature,importance
counts__nasdaq_stockprice,-0.04704666
counts__nasdaq_volume,-0.0570755
counts__nasdaq_volatility,-0.06093979
counts__nasdaq_volatility_std_10,0.03419876
counts__nasdaq_avg_volume_20,-0.28997803
counts__nasdaq_volume_spike_20,0.00598526
counts__nasdaq_stockprice_sma_20,-0.15525055
counts__nasdaq_stockprice_ema_26,-0.010372162
counts__nasdaq_stockprice_macd_line,0.9839058
counts__nasdaq_stockprice_rsi_14,0.17780304
counts__nasdaq_stockprice_bb_mean_20,-0.10385513
counts__nasdaq_stockprice_bb_upper_20,-0.12604904
counts__nasdaq_stockprice_bb_lower_20,-0.003490448
counts__nasdaq_dx_14,0.228199
counts__nasdaq_adx_14,0.17436218
counts__nasdaq_stoch_d_3,0.2820549
counts__nasdaq_obv,-0.073539734
counts__nasdaq_stockprice_momentum_21,-0.072315216
scores__Extroversion,0.053527832
scores__Neuroticism,0.005180359
scores__Agreeableness,-0.011875153
scores__Conscientiousness,-0.13031769
scores__Openness,0.25902176
scores__arts_culture,-0.04294586
scores__business_entrepreneurs,0.36575317
scores__celebrity_pop_culture,-0.19546127
scores__diaries_daily_life,0.21482086
scores__family,-0.22908783
scores__fashion_style,-0.31906128
scores__film_tv_video,0.3738594
scores__fitness_&_health,-0.018001556
scores__food_&_dining,0.04998398
scores__gaming,0.0019798279
scores__learning_educational,-0.40243912
scores__music,-0.03686142
scores__other_hobbies,-0.2413826
scores__relationships,-0.03673172
scores__science_technology,-0.7985954
scores__sports,0.10853195
scores__travel_adventure,0.026153564
scores__youth_student_life,-0.19642258
binary__is_trading_day,-0.20540237
counts__tweet_count,-0.100925446
counts__nlp_tweet_count,0.023181915
counts__tesla,0.14165115
counts__stock,0.035476685
counts__market,0.14622498
counts__price,0.06669998
counts__profit,0.1773758
counts__loss,-0.10021973
counts__revenue,-0.018035889
counts__inflation,-0.0630188
counts__interest,0.047504425
counts__bitcoin,0.0026931763
counts__dogecoin,0.0
counts__crypto,0.0034828186
counts__ethereum,0.0
counts__spacex,-0.069114685
counts__model,-0.021583557
counts__cybertruck,-0.12986374
counts__starship,-0.016666412
counts__buy,-0.17686844
counts__sell,-0.14914703
counts__likeCount,0.3168068
counts__quoteCount,-0.008468628
counts__retweetCount,-0.07670975
counts__replyCount,0.048286438
scores__neg,-0.027633667
scores__neu,0.18741608
scores__pos,-0.2409668
scores__anger,0.5499191
scores__disgust,0.2155304
scores__fear,0.18209839
scores__joy,0.4107399
scores__neutral,-0.6236458
scores__sadness,0.05160141
scores__surprise,-0.15543365
scores__news_social_concern,-0.14704514
binary__no_tweets,0.0
