feature,importance
counts__nasdaq_stockprice,-0.0012207031
counts__nasdaq_volume,10.63385
counts__nasdaq_volatility,-0.20251465
counts__nasdaq_volatility_std_10,-0.2392273
counts__nasdaq_avg_volume_20,-0.20111084
counts__nasdaq_volume_spike_20,9.924255
counts__nasdaq_stockprice_sma_20,-0.41589355
counts__nasdaq_stockprice_ema_26,-0.015625
counts__nasdaq_stockprice_macd_line,-0.5220642
counts__nasdaq_stockprice_rsi_14,-0.44888306
counts__nasdaq_stockprice_bb_mean_20,-0.28408813
counts__nasdaq_stockprice_bb_upper_20,-0.39752197
counts__nasdaq_stockprice_bb_lower_20,-0.2518921
counts__nasdaq_dx_14,-0.8571167
counts__nasdaq_adx_14,-0.053588867
counts__nasdaq_stoch_d_3,0.38208008
counts__nasdaq_obv,-0.15249634
counts__nasdaq_stockprice_momentum_21,-0.19122314
scores__Extroversion,0.65826416
scores__Neuroticism,0.19580078
scores__Agreeableness,0.39379883
scores__Conscientiousness,-0.006866455
scores__Openness,0.622406
scores__arts_culture,-6.849518
scores__business_entrepreneurs,-2.0386047
scores__celebrity_pop_culture,-3.7523346
scores__diaries_daily_life,-0.020446777
scores__family,4.479889
scores__fashion_style,-0.45272827
scores__film_tv_video,-0.19488525
scores__fitness_&_health,-2.511383
scores__food_&_dining,1.4343262
scores__gaming,-1.8117065
scores__learning_educational,1.4596863
scores__music,-3.076355
scores__other_hobbies,-1.1351318
scores__relationships,0.6378174
scores__science_technology,0.009155273
scores__sports,1.1378479
scores__travel_adventure,1.6620178
scores__youth_student_life,-0.7828064
binary__is_trading_day,-0.8751831
counts__tweet_count,-1.4909668
counts__nlp_tweet_count,0.72927856
counts__tesla,0.20870972
counts__stock,-0.58425903
counts__market,-0.78808594
counts__price,-0.046173096
counts__profit,0.08493042
counts__loss,0.0664978
counts__revenue,0.4439392
counts__inflation,0.2368164
counts__interest,-0.40097046
counts__bitcoin,0.04776001
counts__dogecoin,0.038024902
counts__crypto,0.07824707
counts__ethereum,0.0
counts__spacex,-0.20602417
counts__model,0.10903931
counts__cybertruck,0.060455322
counts__starship,-0.10003662
counts__buy,-0.05117798
counts__sell,-0.24841309
counts__likeCount,-2.5068665
counts__quoteCount,0.09158325
counts__retweetCount,-0.57406616
counts__replyCount,-2.804367
scores__neg,-2.3141785
scores__neu,0.46896362
scores__pos,0.6956482
scores__anger,1.111023
scores__disgust,-2.0270996
scores__fear,-0.004699707
scores__joy,0.5834656
scores__neutral,-0.8973694
scores__sadness,-0.45648193
scores__surprise,1.2962952
scores__news_social_concern,1.0256348
binary__no_tweets,-0.056671143
