feature,importance
counts__nasdaq_stockprice,0.018127441
counts__nasdaq_volume,-0.0028381348
counts__nasdaq_volatility,-0.00018310547
counts__nasdaq_volatility_std_10,-0.014526367
counts__nasdaq_avg_volume_20,0.016357422
counts__nasdaq_volume_spike_20,0.0063171387
counts__nasdaq_stockprice_sma_20,-0.010375977
counts__nasdaq_stockprice_ema_26,0.0036315918
counts__nasdaq_stockprice_macd_line,0.21609497
counts__nasdaq_stockprice_rsi_14,0.08773804
counts__nasdaq_stockprice_bb_mean_20,0.0035095215
counts__nasdaq_stockprice_bb_upper_20,0.00793457
counts__nasdaq_stockprice_bb_lower_20,0.0013122559
counts__nasdaq_dx_14,0.009155273
counts__nasdaq_adx_14,0.018737793
counts__nasdaq_stoch_d_3,0.10913086
counts__nasdaq_obv,-0.0014038086
counts__nasdaq_stockprice_momentum_21,-0.0074157715
scores__Extroversion,-0.0289917
scores__Neuroticism,-0.0002746582
scores__Agreeableness,-0.006378174
scores__Conscientiousness,0.028015137
scores__Openness,0.02130127
scores__arts_culture,0.092559814
scores__business_entrepreneurs,0.04348755
scores__celebrity_pop_culture,-0.10708618
scores__diaries_daily_life,0.005065918
scores__family,0.00390625
scores__fashion_style,-0.0032348633
scores__film_tv_video,-0.1144104
scores__fitness_&_health,0.000579834
scores__food_&_dining,0.0051574707
scores__gaming,-0.04977417
scores__learning_educational,0.0054016113
scores__music,-0.04019165
scores__other_hobbies,-0.03564453
scores__relationships,-0.0021972656
scores__science_technology,-0.016235352
scores__sports,-0.005859375
scores__travel_adventure,0.011352539
scores__youth_student_life,0.014587402
binary__is_trading_day,-0.14175415
counts__tweet_count,-0.36050415
counts__nlp_tweet_count,-0.062438965
counts__tesla,0.23858643
counts__stock,-0.050201416
counts__market,-0.00091552734
counts__price,-0.019195557
counts__profit,-0.32818604
counts__loss,0.050689697
counts__revenue,0.10366821
counts__inflation,0.10681152
counts__interest,-0.32925415
counts__bitcoin,-0.057128906
counts__dogecoin,0.0
counts__crypto,0.049682617
counts__ethereum,0.0
counts__spacex,-0.23297119
counts__model,-0.090667725
counts__cybertruck,-0.03137207
counts__starship,0.04537964
counts__buy,-0.03765869
counts__sell,0.3885498
counts__likeCount,-0.13461304
counts__quoteCount,-0.010131836
counts__retweetCount,-0.23736572
counts__replyCount,-0.0021362305
scores__neg,-0.2618103
scores__neu,0.42541504
scores__pos,0.009246826
scores__anger,-0.5343628
scores__disgust,-0.17831421
scores__fear,0.36236572
scores__joy,0.06640625
scores__neutral,0.2131958
scores__sadness,0.27713013
scores__surprise,-0.13601685
scores__news_social_concern,-0.2842102
binary__no_tweets,0.0
