feature,importance
counts__sp500_stockprice,-0.0010828972
counts__sp500_volume,-0.0018510818
counts__sp500_volatility,-0.00016224384
counts__sp500_volatility_std_10,-0.00039362907
counts__sp500_avg_volume_20,-0.0008957386
counts__sp500_volume_spike_20,-1.3113022e-05
counts__sp500_stockprice_sma_20,0.0004131794
counts__sp500_stockprice_ema_26,0.0016721487
counts__sp500_stockprice_macd_line,-0.001994729
counts__sp500_stockprice_rsi_14,-0.0008903742
counts__sp500_stockprice_bb_mean_20,-0.0015045404
counts__sp500_stockprice_bb_upper_20,0.003616333
counts__sp500_stockprice_bb_lower_20,-0.0010272264
counts__sp500_dx_14,-0.0015785694
counts__sp500_adx_14,0.0008252859
counts__sp500_stoch_d_3,-0.0022279024
counts__sp500_obv,0.00025999546
counts__sp500_stockprice_momentum_21,-0.0025581121
scores__Extroversion,-0.0009486675
scores__Neuroticism,0.0006542206
scores__Agreeableness,4.351139e-05
scores__Conscientiousness,-0.00080931187
scores__Openness,-0.00015676022
scores__arts_culture,0.005109906
scores__business_entrepreneurs,-0.0015689135
scores__celebrity_pop_culture,0.0032397509
scores__diaries_daily_life,-0.0009396076
scores__family,-0.005055666
scores__fashion_style,-0.00017905235
scores__film_tv_video,-0.0007470846
scores__fitness_&_health,0.0013171434
scores__food_&_dining,0.0013884306
scores__gaming,0.0027365685
scores__learning_educational,6.0915947e-05
scores__music,-0.00016772747
scores__other_hobbies,0.0022281408
scores__relationships,-0.005044818
scores__science_technology,0.001995325
scores__sports,5.1379204e-05
scores__travel_adventure,0.0014995337
scores__youth_student_life,0.0004259348
binary__is_trading_day,0.002100587
counts__tweet_count,-0.0075933933
counts__nlp_tweet_count,0.002671361
counts__tesla,-0.00370121
counts__stock,0.00087690353
counts__market,0.00044083595
counts__price,0.000295043
counts__profit,-0.00076425076
counts__loss,-0.0014879704
counts__revenue,0.0030646324
counts__inflation,0.0007505417
counts__interest,0.0006916523
counts__bitcoin,-8.368492e-05
counts__dogecoin,0.00013542175
counts__crypto,-0.00014662743
counts__ethereum,0.0
counts__spacex,-0.0031138659
counts__model,-0.0004056692
counts__cybertruck,-0.00097584724
counts__starship,-0.0021252632
counts__buy,0.0012123585
counts__sell,0.0011025667
counts__likeCount,-0.0038616657
counts__quoteCount,-0.0050138235
counts__retweetCount,-0.00073838234
counts__replyCount,0.0029348135
scores__neg,-0.001786828
scores__neu,0.0048063993
scores__pos,-0.0023005009
scores__anger,-0.0019462109
scores__disgust,-0.0018461943
scores__fear,-0.00056672096
scores__joy,0.0005931854
scores__neutral,0.00055480003
scores__sadness,0.004377365
scores__surprise,-0.0002783537
scores__news_social_concern,0.0044904947
binary__no_tweets,-0.000182271
