feature,importance
counts__sp500_stockprice,0.0017760396
counts__sp500_volume,0.00056552887
counts__sp500_volatility,-0.00011527538
counts__sp500_volatility_std_10,-0.000995934
counts__sp500_avg_volume_20,0.0010493994
counts__sp500_volume_spike_20,-0.0004168749
counts__sp500_stockprice_sma_20,0.0009086132
counts__sp500_stockprice_ema_26,0.001731813
counts__sp500_stockprice_macd_line,0.00023305416
counts__sp500_stockprice_rsi_14,0.0014293194
counts__sp500_stockprice_bb_mean_20,-0.00015449524
counts__sp500_stockprice_bb_upper_20,0.00029307604
counts__sp500_stockprice_bb_lower_20,-0.0006275177
counts__sp500_dx_14,-0.00017750263
counts__sp500_adx_14,-0.0010181069
counts__sp500_stoch_d_3,0.00081539154
counts__sp500_obv,-0.00014728308
counts__sp500_stockprice_momentum_21,-0.0001527071
scores__Extroversion,0.00438869
scores__Neuroticism,-0.0009364486
scores__Agreeableness,-0.0013961196
scores__Conscientiousness,-0.0033301115
scores__Openness,0.00042283535
scores__arts_culture,0.0012809038
scores__business_entrepreneurs,-0.0014806986
scores__celebrity_pop_culture,-0.00020366907
scores__diaries_daily_life,-0.0049285293
scores__family,0.0018280745
scores__fashion_style,0.00207299
scores__film_tv_video,-0.00092345476
scores__fitness_&_health,-0.024055839
scores__food_&_dining,0.00075781345
scores__gaming,-0.00030505657
scores__learning_educational,0.0033381581
scores__music,0.029279172
scores__other_hobbies,0.0016918778
scores__relationships,-0.005060911
scores__science_technology,-0.006250918
scores__sports,-0.0020465255
scores__travel_adventure,-0.0017470717
scores__youth_student_life,-0.00023567677
binary__is_trading_day,-0.0024838448
counts__tweet_count,0.00026154518
counts__nlp_tweet_count,0.0010440946
counts__tesla,0.0015119314
counts__stock,0.0
counts__market,0.0
counts__price,0.0006660819
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.0
counts__inflation,0.0
counts__interest,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,0.0008673668
counts__model,-0.00020247698
counts__cybertruck,0.0
counts__starship,0.0
counts__buy,0.0011095405
counts__sell,-0.0012185574
counts__likeCount,0.02082628
counts__quoteCount,0.015237451
counts__retweetCount,0.0015659332
counts__replyCount,0.013531089
scores__neg,0.0028995275
scores__neu,0.021981597
scores__pos,0.012050986
scores__anger,0.0015466809
scores__disgust,0.0042431355
scores__fear,0.00034093857
scores__joy,0.008389413
scores__neutral,0.009351015
scores__sadness,0.0037110448
scores__surprise,0.009658515
scores__news_social_concern,-0.0011645555
binary__no_tweets,-0.0017061234
