feature,importance
counts__sp500_stockprice,0.0160141
counts__sp500_volume,-0.011390686
counts__sp500_volatility,0.012802124
counts__sp500_volatility_std_10,-0.03727722
counts__sp500_avg_volume_20,0.01574707
counts__sp500_volume_spike_20,0.004966736
counts__sp500_stockprice_sma_20,0.019050598
counts__sp500_stockprice_ema_26,-0.08705139
counts__sp500_stockprice_macd_line,-0.018722534
counts__sp500_stockprice_rsi_14,0.02609253
counts__sp500_stockprice_bb_mean_20,-0.0028305054
counts__sp500_stockprice_bb_upper_20,-0.0013809204
counts__sp500_stockprice_bb_lower_20,0.014518738
counts__sp500_dx_14,-0.01399231
counts__sp500_adx_14,0.019165039
counts__sp500_stoch_d_3,0.1277008
counts__sp500_obv,0.0013427734
counts__sp500_stockprice_momentum_21,-0.015800476
scores__Extroversion,0.06877136
scores__Neuroticism,0.00844574
scores__Agreeableness,-0.022148132
scores__Conscientiousness,0.027130127
scores__Openness,0.06821442
scores__arts_culture,-0.004699707
scores__business_entrepreneurs,-0.0019378662
scores__celebrity_pop_culture,0.031440735
scores__diaries_daily_life,0.036514282
scores__family,0.0107803345
scores__fashion_style,-0.006652832
scores__film_tv_video,-0.055488586
scores__fitness_&_health,0.009223938
scores__food_&_dining,0.053993225
scores__gaming,0.0065689087
scores__learning_educational,0.009864807
scores__music,-0.0018692017
scores__other_hobbies,0.06061554
scores__relationships,0.04751587
scores__science_technology,0.028839111
scores__sports,0.025756836
scores__travel_adventure,0.062164307
scores__youth_student_life,-0.19425201
binary__is_trading_day,-0.015350342
counts__tweet_count,0.23214722
counts__nlp_tweet_count,0.18235779
counts__tesla,0.027374268
counts__stock,-0.2037735
counts__market,0.04260254
counts__price,-0.0028839111
counts__profit,0.1558075
counts__loss,-0.008354187
counts__revenue,-0.026687622
counts__inflation,0.0076446533
counts__interest,0.0016326904
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,0.0043411255
counts__model,0.02280426
counts__cybertruck,0.018356323
counts__starship,-0.004798889
counts__buy,0.0004348755
counts__sell,-0.046653748
counts__likeCount,-0.029632568
counts__quoteCount,0.004814148
counts__retweetCount,-0.068496704
counts__replyCount,0.07182312
scores__neg,0.0048980713
scores__neu,0.8318176
scores__pos,-0.025848389
scores__anger,-0.45594025
scores__disgust,-1.0267868
scores__fear,-0.0096206665
scores__joy,0.15497589
scores__neutral,-0.64645386
scores__sadness,-0.1364975
scores__surprise,-0.10825348
scores__news_social_concern,0.381279
binary__no_tweets,0.0
