feature,importance
counts__tesla_stockprice,0.045295715
counts__tesla_volume,-0.00012779236
counts__tesla_volatility,-0.0005226135
counts__tesla_volatility_std_10,-0.001991272
counts__tesla_avg_volume_20,-0.0015964508
counts__tesla_volume_spike_20,0.0009880066
counts__tesla_stockprice_sma_20,0.002986908
counts__tesla_stockprice_ema_26,-0.00086021423
counts__tesla_stockprice_macd_line,0.005619049
counts__tesla_stockprice_rsi_14,0.0148563385
counts__tesla_stockprice_bb_mean_20,0.013475418
counts__tesla_stockprice_bb_upper_20,0.0032997131
counts__tesla_stockprice_bb_lower_20,0.0013866425
counts__tesla_dx_14,0.016170502
counts__tesla_adx_14,-0.0007724762
counts__tesla_stoch_d_3,0.0030155182
counts__tesla_obv,-0.0017032623
counts__tesla_stockprice_momentum_21,0.0004863739
scores__Extroversion,0.017951965
scores__Neuroticism,0.0029010773
scores__Agreeableness,0.0033092499
scores__Conscientiousness,-0.0013580322
scores__Openness,-0.00048828125
scores__arts_culture,-0.03281021
scores__business_entrepreneurs,0.00920105
scores__celebrity_pop_culture,-0.006290436
scores__diaries_daily_life,-0.006658554
scores__family,0.007884979
scores__fashion_style,0.007221222
scores__film_tv_video,-0.012310028
scores__fitness_&_health,0.00050735474
scores__food_&_dining,-0.022821426
scores__gaming,-0.01709938
scores__learning_educational,0.0004119873
scores__music,-0.020643234
scores__other_hobbies,0.10375595
scores__relationships,-0.023748398
scores__science_technology,-0.05583
scores__sports,0.0338192
scores__travel_adventure,-0.05867195
scores__youth_student_life,-0.045398712
binary__is_trading_day,0.00070381165
counts__tweet_count,0.0024318695
counts__nlp_tweet_count,0.03284645
counts__tesla,-0.02273941
counts__stock,0.009418488
counts__market,0.0065174103
counts__price,-0.0033073425
counts__profit,0.0047016144
counts__loss,0.0060596466
counts__revenue,-0.037324905
counts__inflation,-0.016946793
counts__interest,0.01374054
counts__bitcoin,-0.00248909
counts__dogecoin,-0.0010204315
counts__crypto,0.0018997192
counts__ethereum,0.0
counts__spacex,0.005935669
counts__model,0.008457184
counts__cybertruck,0.001033783
counts__starship,0.080078125
counts__buy,0.0082530975
counts__sell,8.010864e-05
counts__likeCount,0.058732986
counts__quoteCount,-0.00406456
counts__retweetCount,0.08211517
counts__replyCount,0.007221222
scores__neg,0.0335083
scores__neu,-0.0057029724
scores__pos,0.038951874
scores__anger,-0.040742874
scores__disgust,0.01486969
scores__fear,0.013856888
scores__joy,0.016017914
scores__neutral,0.015188217
scores__sadness,0.10290527
scores__surprise,0.16723824
scores__news_social_concern,-0.064668655
binary__no_tweets,-0.002998352
