feature,importance
counts__tesla_stockprice,0.0016937256
counts__tesla_volume,0.0043964386
counts__tesla_volatility,0.010719299
counts__tesla_volatility_std_10,-0.00022697449
counts__tesla_avg_volume_20,0.0029754639
counts__tesla_volume_spike_20,-0.0032958984
counts__tesla_stockprice_sma_20,0.017478943
counts__tesla_stockprice_ema_26,-0.0031280518
counts__tesla_stockprice_macd_line,0.004716873
counts__tesla_stockprice_rsi_14,0.007381439
counts__tesla_stockprice_bb_mean_20,0.008495331
counts__tesla_stockprice_bb_upper_20,0.0020599365
counts__tesla_stockprice_bb_lower_20,0.008096695
counts__tesla_dx_14,-0.006286621
counts__tesla_adx_14,0.00097465515
counts__tesla_stoch_d_3,0.020303726
counts__tesla_obv,-0.0040416718
counts__tesla_stockprice_momentum_21,-0.0013866425
scores__Extroversion,-0.056735992
scores__Neuroticism,0.02051735
scores__Agreeableness,-0.0016880035
scores__Conscientiousness,-0.08516693
scores__Openness,-0.009477615
scores__arts_culture,0.009511948
scores__business_entrepreneurs,-0.020397186
scores__celebrity_pop_culture,-0.00582695
scores__diaries_daily_life,-0.011232376
scores__family,-0.07033157
scores__fashion_style,0.0073986053
scores__film_tv_video,0.029127121
scores__fitness_&_health,0.027809143
scores__food_&_dining,-0.043504715
scores__gaming,-0.0004119873
scores__learning_educational,0.0005836487
scores__music,-0.0338459
scores__other_hobbies,-0.060634613
scores__relationships,-0.032474518
scores__science_technology,-0.01464653
scores__sports,-0.0050086975
scores__travel_adventure,-0.026618958
scores__youth_student_life,0.019132614
binary__is_trading_day,0.0033683777
counts__tweet_count,0.01996994
counts__nlp_tweet_count,-0.010389328
counts__tesla,0.008659363
counts__stock,0.004179001
counts__market,0.00076675415
counts__price,-0.003332138
counts__profit,0.0
counts__loss,0.0
counts__revenue,0.005056381
counts__inflation,0.02073288
counts__interest,-0.0023155212
counts__bitcoin,-0.00053596497
counts__dogecoin,0.007890701
counts__crypto,-0.00018882751
counts__ethereum,0.0043258667
counts__spacex,-0.0063438416
counts__model,0.004211426
counts__cybertruck,-6.67572e-05
counts__starship,-0.009466171
counts__buy,-0.013687134
counts__sell,-0.008087158
counts__likeCount,-0.010690689
counts__quoteCount,-0.011638641
counts__retweetCount,0.013706207
counts__replyCount,0.11608696
scores__neg,-0.04024887
scores__neu,-0.08708382
scores__pos,-0.05917549
scores__anger,-0.0476017
scores__disgust,0.15595055
scores__fear,0.27553368
scores__joy,0.07870865
scores__neutral,0.07510567
scores__sadness,-0.09449768
scores__surprise,0.34013748
scores__news_social_concern,-0.06587219
binary__no_tweets,-0.00166893
