feature,importance
counts__tesla_stockprice,0.0024490356
counts__tesla_volume,0.0012702942
counts__tesla_volatility,0.007984161
counts__tesla_volatility_std_10,-0.002544403
counts__tesla_avg_volume_20,0.00016403198
counts__tesla_volume_spike_20,0.00045394897
counts__tesla_stockprice_sma_20,0.012557983
counts__tesla_stockprice_ema_26,2.670288e-05
counts__tesla_stockprice_macd_line,-0.0070114136
counts__tesla_stockprice_rsi_14,0.0043296814
counts__tesla_stockprice_bb_mean_20,-0.00034332275
counts__tesla_stockprice_bb_upper_20,-0.010692596
counts__tesla_stockprice_bb_lower_20,0.0035095215
counts__tesla_dx_14,-0.008903503
counts__tesla_adx_14,0.024982452
counts__tesla_stoch_d_3,0.0038795471
counts__tesla_obv,-0.00019454956
counts__tesla_stockprice_momentum_21,-0.0051612854
scores__Extroversion,0.0016021729
scores__Neuroticism,-0.0017051697
scores__Agreeableness,0.0007095337
scores__Conscientiousness,0.002571106
scores__Openness,0.0019721985
scores__arts_culture,0.022636414
scores__business_entrepreneurs,-0.017852783
scores__celebrity_pop_culture,0.00016784668
scores__diaries_daily_life,-0.009944916
scores__family,-0.048797607
scores__fashion_style,-0.005290985
scores__film_tv_video,-0.004535675
scores__fitness_&_health,0.016933441
scores__food_&_dining,-0.0036964417
scores__gaming,0.003917694
scores__learning_educational,0.0107803345
scores__music,0.0067749023
scores__other_hobbies,0.012096405
scores__relationships,0.030887604
scores__science_technology,0.02084732
scores__sports,0.016609192
scores__travel_adventure,-0.003627777
scores__youth_student_life,-0.017692566
binary__is_trading_day,-0.008049011
counts__tweet_count,0.0067710876
counts__nlp_tweet_count,0.025592804
counts__tesla,0.03177643
counts__stock,0.0013237
counts__market,-0.0069465637
counts__price,-0.0026817322
counts__profit,-7.247925e-05
counts__loss,-0.0015907288
counts__revenue,-0.028305054
counts__inflation,0.0064697266
counts__interest,-0.0027275085
counts__bitcoin,-0.00075531006
counts__dogecoin,0.0002937317
counts__crypto,0.00018310547
counts__ethereum,0.0
counts__spacex,-0.019870758
counts__model,-1.5258789e-05
counts__cybertruck,-0.003921509
counts__starship,-0.0015830994
counts__buy,0.013252258
counts__sell,0.011234283
counts__likeCount,-0.026725769
counts__quoteCount,0.025238037
counts__retweetCount,-0.0010070801
counts__replyCount,-0.044448853
scores__neg,-0.04027176
scores__neu,-0.011245728
scores__pos,0.017032623
scores__anger,0.05161667
scores__disgust,-0.018032074
scores__fear,0.016719818
scores__joy,-0.046741486
scores__neutral,-0.0052719116
scores__sadness,0.042633057
scores__surprise,0.024578094
scores__news_social_concern,0.03776169
binary__no_tweets,-0.0014038086
