feature,importance
counts__tesla_stockprice,-0.00037765503
counts__tesla_volume,-0.008060455
counts__tesla_volatility,0.045684814
counts__tesla_volatility_std_10,-0.036510468
counts__tesla_avg_volume_20,0.016937256
counts__tesla_volume_spike_20,0.0011024475
counts__tesla_stockprice_sma_20,0.013046265
counts__tesla_stockprice_ema_26,-0.013492584
counts__tesla_stockprice_macd_line,0.039463043
counts__tesla_stockprice_rsi_14,0.017051697
counts__tesla_stockprice_bb_mean_20,0.02652359
counts__tesla_stockprice_bb_upper_20,0.003124237
counts__tesla_stockprice_bb_lower_20,0.0016899109
counts__tesla_dx_14,-0.0026626587
counts__tesla_adx_14,-0.024276733
counts__tesla_stoch_d_3,0.023075104
counts__tesla_obv,0.008823395
counts__tesla_stockprice_momentum_21,0.04814911
scores__Extroversion,0.00037384033
scores__Neuroticism,-0.032787323
scores__Agreeableness,0.10383606
scores__Conscientiousness,0.03345108
scores__Openness,0.0014686584
scores__arts_culture,-0.04907608
scores__business_entrepreneurs,-0.1194725
scores__celebrity_pop_culture,0.060317993
scores__diaries_daily_life,-0.011051178
scores__family,0.0025978088
scores__fashion_style,0.014122009
scores__film_tv_video,0.034297943
scores__fitness_&_health,-0.12730026
scores__food_&_dining,0.0008735657
scores__gaming,-0.04807663
scores__learning_educational,-0.114723206
scores__music,-0.020103455
scores__other_hobbies,-0.06980896
scores__relationships,-0.032188416
scores__science_technology,-0.008090973
scores__sports,-0.008232117
scores__travel_adventure,-0.075920105
scores__youth_student_life,-0.071128845
binary__is_trading_day,0.038360596
counts__tweet_count,0.17724991
counts__nlp_tweet_count,0.034160614
counts__tesla,0.05594635
counts__stock,-0.4331169
counts__market,0.013511658
counts__price,-0.0036125183
counts__profit,0.014968872
counts__loss,0.08180618
counts__revenue,0.0
counts__inflation,0.047203064
counts__interest,0.008274078
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,0.013027191
counts__model,0.038116455
counts__cybertruck,0.008018494
counts__starship,0.0055999756
counts__buy,0.015144348
counts__sell,0.36690903
counts__likeCount,-0.20798874
counts__quoteCount,-0.04839325
counts__retweetCount,0.04763794
counts__replyCount,0.0048217773
scores__neg,0.34399414
scores__neu,-0.09561539
scores__pos,0.15251923
scores__anger,-0.13928223
scores__disgust,0.17850113
scores__fear,0.04311371
scores__joy,0.22294235
scores__neutral,0.06123352
scores__sadness,-0.12277222
scores__surprise,0.36623
scores__news_social_concern,0.1340065
binary__no_tweets,0.0
