feature,importance
counts__tesla_stockprice,0.11248779
counts__tesla_volume,22.92926
counts__tesla_volatility,0.24957275
counts__tesla_volatility_std_10,1.4472046
counts__tesla_avg_volume_20,-3.9277344
counts__tesla_volume_spike_20,10.9817505
counts__tesla_stockprice_sma_20,-0.8427124
counts__tesla_stockprice_ema_26,-0.33544922
counts__tesla_stockprice_macd_line,-2.59375
counts__tesla_stockprice_rsi_14,0.9141846
counts__tesla_stockprice_bb_mean_20,-0.6881714
counts__tesla_stockprice_bb_upper_20,0.5083008
counts__tesla_stockprice_bb_lower_20,0.7005615
counts__tesla_dx_14,-5.9713745
counts__tesla_adx_14,-0.7996826
counts__tesla_stoch_d_3,1.0142822
counts__tesla_obv,-0.008422852
counts__tesla_stockprice_momentum_21,1.6688232
scores__Extroversion,-12.464233
scores__Neuroticism,-7.353943
scores__Agreeableness,-13.24884
scores__Conscientiousness,2.9840088
scores__Openness,0.5562134
scores__arts_culture,2.4683838
scores__business_entrepreneurs,-0.006286621
scores__celebrity_pop_culture,10.883789
scores__diaries_daily_life,0.14050293
scores__family,-2.0229492
scores__fashion_style,-2.5689697
scores__film_tv_video,-4.1277466
scores__fitness_&_health,-28.549683
scores__food_&_dining,-1.8699341
scores__gaming,-2.8096924
scores__learning_educational,-20.400146
scores__music,0.48046875
scores__other_hobbies,-2.6222534
scores__relationships,-13.164185
scores__science_technology,-0.9898071
scores__sports,1.295227
scores__travel_adventure,-7.19928
scores__youth_student_life,4.8096924
binary__is_trading_day,-0.3522339
counts__tweet_count,0.118774414
counts__nlp_tweet_count,0.078552246
counts__tesla,4.789551
counts__stock,0.44714355
counts__market,0.06390381
counts__price,-0.4274292
counts__profit,-1.0703735
counts__loss,-0.019042969
counts__revenue,-0.23577881
counts__inflation,0.0
counts__interest,0.16845703
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__crypto,0.0
counts__ethereum,0.0
counts__spacex,-0.13696289
counts__model,1.5276489
counts__cybertruck,-0.2086792
counts__starship,-0.07434082
counts__buy,-0.42114258
counts__sell,1.4441528
counts__likeCount,0.15679932
counts__quoteCount,-1.6487427
counts__retweetCount,-2.829773
counts__replyCount,-0.34136963
scores__neg,5.937378
scores__neu,4.521179
scores__pos,-1.6159058
scores__anger,4.02124
scores__disgust,-2.213745
scores__fear,-0.91656494
scores__joy,9.304016
scores__neutral,-5.529358
scores__sadness,2.3763428
scores__surprise,-2.3745117
scores__news_social_concern,-11.356384
binary__no_tweets,0.0
