asset,target,phase,use_twitter,mse,mae,accuracy,f1
tesla,change_stockprice,phase1,False,5.05801845605283,1.6947633080964541,0.4358974358974359,0.45901639344262296
tesla,change_stockprice,phase2,False,17.063142796388583,3.238841700760193,0.48255813953488375,0.3776223776223776
tesla,change_stockprice,phase3,False,27.36745152340812,3.9372668302478804,0.5287356321839081,0.1276595744680851
tesla,change_stockprice,phase4,False,57.141290878504314,5.74315646559,0.48,0.6486486486486487
tesla,change_stockprice,full,False,17.163892440192196,2.957074425543121,0.4934725848563969,0.6380597014925373
tesla,change_volume,phase1,False,1804.213884998367,32.71426647570398,0.5128205128205128,0.6013986013986014
tesla,change_volume,phase2,False,667.675756127066,20.322492442678573,0.47093023255813954,0.6127659574468085
tesla,change_volume,phase3,False,666.1542699802361,19.604907972716738,0.5517241379310345,0.7111111111111111
tesla,change_volume,phase4,False,697.5561820039412,19.706699402332305,0.52,0.6842105263157895
tesla,change_volume,full,False,762.2626142449656,20.489310093379675,0.4595300261096606,0.629695885509839
tesla,change_volatility,phase1,False,22.294087739124897,2.511323286464207,0.452991452991453,0.47540983606557374
tesla,change_volatility,phase2,False,18.885368178095,2.8622074387859295,0.436046511627907,0.49214659685863876
tesla,change_volatility,phase3,False,32.629173800787754,3.0692474704942314,0.5517241379310345,0.7111111111111111
tesla,change_volatility,phase4,False,60.37899614547376,3.6741659047454593,0.6,0.7368421052631579
tesla,change_volatility,full,False,42.865349840081855,3.011402174396995,0.47780678851174935,0.40828402366863903
sp500,change_stockprice,phase1,False,0.6530971962110735,0.5025000674888874,0.4700854700854701,0.5694444444444444
sp500,change_stockprice,phase2,False,2.4859758485464507,1.2531629226699763,0.5465116279069767,0.5185185185185185
sp500,change_stockprice,phase3,False,2.807890505171406,1.0470753528750447,0.5172413793103449,0.6440677966101694
sp500,change_stockprice,phase4,False,7.808598327041738,1.7628996677696704,0.6,0.6875
sp500,change_stockprice,full,False,1.1288672671159024,0.6969693667667507,0.4908616187989556,0.453781512605042
sp500,change_volume,phase1,False,311.9086353945286,10.747702666622006,0.5555555555555556,0.6231884057971014
sp500,change_volume,phase2,False,273.0991139907542,10.872551350280382,0.47674418604651164,0.6311475409836066
sp500,change_volume,phase4,False,860.6415991928188,18.503767434358597,0.4,0.5714285714285714
sp500,change_volume,full,False,391.6902555748996,12.710498228581628,0.5456919060052219,0.46296296296296297
sp500,change_volatility,phase1,False,57.96912985728971,3.669282691035834,0.5470085470085471,0.4854368932038835
sp500,change_volatility,phase2,False,13.486710979769578,2.3902799561690826,0.5290697674418605,0.6639004149377593
sp500,change_volatility,phase3,False,51.12125013733285,3.596076271793773,0.632183908045977,0.7681159420289855
sp500,change_volatility,phase4,False,110.61297259339136,4.985662085311487,0.56,0.7027027027027027
sp500,change_volatility,full,False,27.077693526302667,2.916697889536634,0.5430809399477807,0.691358024691358
nasdaq,change_stockprice,phase1,False,0.8108961101495036,0.6019101416130956,0.5299145299145299,0.6583850931677019
nasdaq,change_stockprice,phase2,False,4.301650650518689,1.6858955849514365,0.46511627906976744,0.5208333333333334
nasdaq,change_stockprice,phase3,False,4.650871586349287,1.422618571379832,0.4482758620689655,0.5
nasdaq,change_stockprice,phase4,False,11.915107667549355,2.2635024415701626,0.44,0.5882352941176471
nasdaq,change_stockprice,full,False,2.0283468470382258,0.9737989297556124,0.4725848563968668,0.28368794326241137
nasdaq,change_volume,phase1,False,301.9194131404337,10.608498451865128,0.5982905982905983,0.6050420168067226
nasdaq,change_volume,phase2,False,205.79926159186599,9.715004945563715,0.5348837209302325,0.696969696969697
nasdaq,change_volume,phase3,False,278.1147491749948,12.794007733978074,0.4942528735632184,0.6615384615384615
nasdaq,change_volume,phase4,False,305.0184403980785,13.720534199476242,0.44,0.6111111111111112
nasdaq,change_volume,full,False,263.47856580125926,11.560771758816456,0.5456919060052219,0.3602941176470588
nasdaq,change_volatility,phase1,False,45.58967293091272,3.8024256945762813,0.5641025641025641,0.6330935251798561
nasdaq,change_volatility,phase2,False,15.347619273220534,2.902154779627508,0.45930232558139533,0.5279187817258884
nasdaq,change_volatility,phase3,False,42.45725522439379,3.1776262147073773,0.5862068965517241,0.7391304347826086
nasdaq,change_volatility,phase4,False,95.29493503291614,4.441552074402571,0.68,0.8
nasdaq,change_volatility,full,False,22.663507454418205,3.0315868844847773,0.5535248041775457,0.64
bitcoin,change_stockprice,phase1,False,44.122666830549676,4.931261740322424,0.49572649572649574,0.45871559633027525
bitcoin,change_stockprice,phase2,False,14.720423169571974,2.7349442943313353,0.4941860465116279,0.6448979591836734
bitcoin,change_stockprice,phase3,False,8.483457663636637,2.2795345159354565,0.5862068965517241,0.6326530612244898
bitcoin,change_stockprice,phase4,False,9.980992603493869,2.51675993129611,0.56,0.717948717948718
bitcoin,change_stockprice,full,False,9.247568658174748,2.3024522538878043,0.5065274151436031,0.5573770491803278
bitcoin,change_volume,phase1,False,950.6519956595176,24.450689214098656,0.5726495726495726,0.7282608695652174
bitcoin,change_volume,phase2,False,992.0226973225826,24.256920990035976,0.5348837209302325,0.696969696969697
bitcoin,change_volume,phase3,False,3181.5572234847364,38.89229368820958,0.5402298850574713,0.574468085106383
bitcoin,change_volume,phase4,False,4613.213733952422,59.00744118213654,0.4,0.5161290322580645
bitcoin,change_volume,full,False,2852.83774470172,36.01687524887896,0.577023498694517,0.6707317073170732
bitcoin,change_volatility,phase1,False,17.300603866886306,2.924539166232869,0.5042735042735043,0.6704545454545454
bitcoin,change_volatility,phase2,False,38.04171224490039,3.133244010312537,0.5058139534883721,0.6558704453441295
bitcoin,change_volatility,phase3,False,25.872835741966213,3.538091527009062,0.5517241379310345,0.7111111111111111
bitcoin,change_volatility,phase4,False,23.856922628655965,3.013366551734507,0.56,0.717948717948718
bitcoin,change_volatility,full,False,32.32690894718407,3.5113443251063634,0.5718015665796344,0.722972972972973
tesla,change_stockprice,phase1,True,4.852995543630641,1.672117149695141,0.46153846153846156,0.35051546391752575
tesla,change_stockprice,phase2,True,16.26111191867898,3.0851301855440143,0.5581395348837209,0.6576576576576577
tesla,change_stockprice,phase3,True,26.932980702093083,3.901678546856361,0.5862068965517241,0.4857142857142857
tesla,change_stockprice,phase4,True,56.71470405635676,5.742047513648868,0.44,0.5625
tesla,change_stockprice,full,True,17.17360042364406,2.9479978693717257,0.4960835509138381,0.3987538940809969
tesla,change_volume,phase1,True,1889.2445438306693,32.9191444917367,0.5641025641025641,0.6046511627906976
tesla,change_volume,phase2,True,695.1648777743104,21.030786872040046,0.4883720930232558,0.6302521008403361
tesla,change_volume,phase3,True,676.5122634104565,19.35721255684721,0.5402298850574713,0.375
tesla,change_volume,phase4,True,746.3091625349053,19.46005886554718,0.52,0.5
tesla,change_volume,full,True,747.2518567683563,19.72715400468665,0.5013054830287206,0.59958071278826
tesla,change_volatility,phase1,True,21.635556573922248,2.5256247133062355,0.5384615384615384,0.6785714285714286
tesla,change_volatility,phase2,True,20.449329313157396,3.0761700396880856,0.46511627906976744,0.4588235294117647
tesla,change_volatility,phase3,True,32.276383843131455,3.1013516946963366,0.5287356321839081,0.6917293233082706
tesla,change_volatility,phase4,True,61.89271540958357,3.7875517958402636,0.44,0.4166666666666667
tesla,change_volatility,full,True,42.7448635431489,3.0145342236019395,0.46475195822454307,0.4730077120822622
sp500,change_stockprice,phase1,True,0.6700189973517418,0.5004186059356245,0.5982905982905983,0.745945945945946
sp500,change_stockprice,phase2,True,2.456034826041984,1.2538113132021715,0.5290697674418605,0.5803108808290155
sp500,change_stockprice,phase3,True,2.8974540762917735,1.0270089579869233,0.5402298850574713,0.5555555555555556
sp500,change_stockprice,phase4,True,7.602117514492929,1.7974007195979356,0.56,0.5925925925925926
sp500,change_stockprice,full,True,1.1426377557592247,0.6986339271297148,0.5065274151436031,0.6037735849056604
sp500,change_volume,phase1,True,304.74278561643285,10.324198194142653,0.5555555555555556,0.6060606060606061
sp500,change_volume,phase2,True,283.8457015587574,10.996223729623612,0.5116279069767442,0.5483870967741935
sp500,change_volume,phase4,True,839.7797784058338,17.521583456993103,0.72,0.5333333333333333
sp500,change_volume,full,True,338.0126528193447,11.916021183074765,0.5326370757180157,0.6083150984682714
sp500,change_volatility,phase1,True,51.28188275558127,3.5681228258877864,0.5299145299145299,0.5925925925925926
sp500,change_volatility,phase2,True,14.202568049445267,2.7096432780506507,0.5348837209302325,0.6694214876033058
sp500,change_volatility,phase3,True,49.72004101917103,3.5349273432110406,0.6436781609195402,0.7769784172661871
sp500,change_volatility,phase4,True,110.1901025541847,5.0219943074136975,0.4,0.5161290322580645
sp500,change_volatility,full,True,26.938481301684714,3.005620741868372,0.5535248041775457,0.7005253940455342
nasdaq,change_stockprice,phase1,True,0.8335533247026988,0.625150435566345,0.5555555555555556,0.6338028169014085
nasdaq,change_stockprice,phase2,True,4.230781930633458,1.676897909546401,0.5174418604651163,0.5743589743589743
nasdaq,change_stockprice,phase3,True,4.748381921505306,1.3913225938790832,0.5517241379310345,0.4
nasdaq,change_stockprice,phase4,True,11.510542128391245,2.30325432529673,0.52,0.3333333333333333
nasdaq,change_stockprice,full,True,1.9873480316591585,0.945934315204168,0.5691906005221932,0.7058823529411765
nasdaq,change_volume,phase1,True,295.66065775289115,10.355919994700413,0.49572649572649574,0.549618320610687
nasdaq,change_volume,phase2,True,206.61279213453176,9.713456967910535,0.5581395348837209,0.6859504132231405
nasdaq,change_volume,phase3,True,278.2907774763661,12.834263596384005,0.5057471264367817,0.6666666666666666
nasdaq,change_volume,phase4,True,308.50951637899726,13.761355084329843,0.48,0.6285714285714286
nasdaq,change_volume,full,True,258.73759675331604,11.866829707333453,0.5378590078328982,0.5755395683453237
nasdaq,change_volatility,phase1,True,47.93075515394266,3.7602307942027275,0.5299145299145299,0.60431654676259
nasdaq,change_volatility,phase2,True,14.939598235559478,2.9953110997949532,0.5116279069767442,0.5882352941176471
nasdaq,change_volatility,phase3,True,45.40405738876507,3.451522965690699,0.5517241379310345,0.5411764705882353
nasdaq,change_volatility,phase4,True,95.23703643494024,4.394492439739406,0.68,0.8095238095238095
nasdaq,change_volatility,full,True,23.373521313469283,2.8255185358735124,0.5143603133159269,0.6725352112676056
bitcoin,change_stockprice,phase1,True,42.59183004039169,4.800192797381399,0.5726495726495726,0.7282608695652174
