asset,target,phase,accuracy_no_twitter,accuracy_all,f1_score_no_twitter,f1_score_all,accuracy_diff,f1_score_diff
bitcoin,change_stockprice,full,0.5065274151436031,0.4986945169712793,0.5573770491803278,0.5294117647058824,-0.007832898172323799,-0.027965284474445462
bitcoin,change_stockprice,phase1,0.4957264957264957,0.5726495726495726,0.4587155963302752,0.7282608695652174,0.07692307692307693,0.2695452732349422
bitcoin,change_stockprice,phase2,0.4941860465116279,0.5,0.6448979591836734,0.635593220338983,0.005813953488372103,-0.009304738844690408
bitcoin,change_stockprice,phase3,0.5862068965517241,0.5747126436781609,0.6326530612244898,0.6262626262626263,-0.011494252873563204,-0.006390434961863534
bitcoin,change_stockprice,phase4,0.56,0.72,0.717948717948718,0.7586206896551724,0.15999999999999992,0.040671971706454424
bitcoin,change_volatility,full,0.5718015665796344,0.5404699738903395,0.722972972972973,0.6704119850187266,-0.031331592689294974,-0.05256098795424646
bitcoin,change_volatility,phase1,0.5042735042735043,0.5128205128205128,0.6704545454545454,0.6705202312138728,0.008547008547008517,6.568575932741627e-05
bitcoin,change_volatility,phase2,0.5058139534883721,0.4825581395348837,0.6558704453441295,0.6509803921568628,-0.023255813953488413,-0.004890053187266763
bitcoin,change_volatility,phase3,0.5517241379310345,0.5402298850574713,0.7111111111111111,0.7014925373134329,-0.011494252873563204,-0.009618573797678276
bitcoin,change_volatility,phase4,0.56,0.36,0.717948717948718,0.3333333333333333,-0.20000000000000007,-0.38461538461538464
bitcoin,change_volume,full,0.577023498694517,0.5404699738903395,0.6707317073170732,0.6764705882352942,-0.036553524804177506,0.0057388809182209455
bitcoin,change_volume,phase1,0.5726495726495726,0.5726495726495726,0.7282608695652174,0.7282608695652174,0.0,0.0
bitcoin,change_volume,phase2,0.5348837209302325,0.5406976744186046,0.696969696969697,0.6996197718631179,0.005813953488372103,0.0026500748934208396
bitcoin,change_volume,phase3,0.5402298850574713,0.6206896551724138,0.574468085106383,0.6451612903225806,0.08045977011494254,0.0706932052161976
bitcoin,change_volume,phase4,0.4,0.44,0.5161290322580645,0.5882352941176471,0.03999999999999998,0.07210626185958258
