asset,target,phase,val_loss,accuracy,f1_score
tesla,change_stockprice,phase1,0.596530020236969,0.6612903225806451,0.05970149253731343
tesla,change_stockprice,phase2,0.5428040986475737,0.64,0.3181818181818182
tesla,change_stockprice,phase3,0.5702457771851466,0.6293706293706294,0.4854368932038835
tesla,change_stockprice,full,0.5209470015984995,0.6513605442176871,0.4913151364764268
tesla,change_volume,phase1,0.527553941397106,0.3602150537634409,0.4892703862660944
tesla,change_volume,phase2,0.48820144909879437,0.696,0.5632183908045977
tesla,change_volume,phase3,0.5992975189135625,0.6433566433566433,0.41379310344827586
tesla,change_volume,full,0.49918352674554894,0.6836734693877551,0.4294478527607362
tesla,change_volatility,phase1,0.6310750649255865,0.43010752688172044,0.5583333333333333
tesla,change_volatility,phase2,0.5187254431455032,0.696,0.5
tesla,change_volatility,phase3,0.5706071097117204,0.5874125874125874,0.5815602836879432
tesla,change_volatility,full,0.5210184101705198,0.6496598639455783,0.485
sp500,change_stockprice,phase1,0.5625688135623932,0.5,0.6234817813765182
sp500,change_stockprice,phase2,0.5489028938438582,0.612,0.5570776255707762
sp500,change_stockprice,phase3,0.5993387492803427,0.5524475524475524,0.5492957746478874
sp500,change_stockprice,full,0.5231199441132722,0.6309523809523809,0.5056947608200456
sp500,change_volume,phase1,0.47213167653364296,0.6612903225806451,0.18181818181818182
sp500,change_volume,phase2,0.5103254033171613,0.644,0.6044444444444445
sp500,change_volume,phase3,0.5214100525929377,0.6713286713286714,0.2033898305084746
sp500,change_volume,full,0.48693228099081254,0.7125850340136054,0.4831804281345566
sp500,change_volatility,phase1,0.5855569471331203,0.6182795698924731,0.07792207792207792
sp500,change_volatility,phase2,0.5860586140466773,0.732,0.6417112299465241
sp500,change_volatility,phase3,0.5582411449689132,0.6083916083916084,0.6216216216216216
sp500,change_volatility,full,0.5154222846031189,0.6615646258503401,0.3017543859649123
nasdaq,change_stockprice,phase1,0.5620397416984334,0.6666666666666666,0.6219512195121951
nasdaq,change_stockprice,phase2,0.5321221675561822,0.608,0.5333333333333333
nasdaq,change_stockprice,phase3,0.6272756503178523,0.5384615384615384,0.5769230769230769
nasdaq,change_stockprice,full,0.5238386646465019,0.6377551020408163,0.47146401985111663
nasdaq,change_volume,phase1,0.4806197513552273,0.7204301075268817,0.36585365853658536
nasdaq,change_volume,phase2,0.5329293945561284,0.672,0.4305555555555556
nasdaq,change_volume,phase3,0.529591977596283,0.6853146853146853,0.11764705882352941
nasdaq,change_volume,full,0.4858722179024308,0.685374149659864,0.32234432234432236
nasdaq,change_volatility,phase1,0.579520665547427,0.6075268817204301,0.0
nasdaq,change_volatility,phase2,0.5140265770580458,0.644,0.6147186147186147
nasdaq,change_volatility,phase3,0.5352120651648595,0.6503496503496503,0.5370370370370371
nasdaq,change_volatility,full,0.5137768100809168,0.6479591836734694,0.5749486652977412
bitcoin,change_stockprice,phase1,0.6679881986449746,0.5376344086021505,0.6742424242424242
bitcoin,change_stockprice,phase2,0.692405501137609,0.484,0.6030769230769231
bitcoin,change_stockprice,phase3,0.6927177034891568,0.4825174825174825,0.24489795918367346
bitcoin,change_stockprice,full,0.6942471773536117,0.48299319727891155,0.2
bitcoin,change_volume,phase1,0.6895096266970915,0.5053763440860215,0.0
bitcoin,change_volume,phase2,0.5877369616342627,0.78,0.759825327510917
bitcoin,change_volume,phase3,0.5333495323474591,0.6083916083916084,0.48148148148148145
bitcoin,change_volume,full,0.5236906497566788,0.6632653061224489,0.717948717948718
bitcoin,change_volatility,phase1,0.681406788966235,0.5,0.6666666666666666
bitcoin,change_volatility,phase2,0.6779494726139567,0.528,0.11940298507462686
bitcoin,change_volatility,phase3,0.6902110851727999,0.5594405594405595,0.5771812080536913
bitcoin,change_volatility,full,0.6800726111288424,0.5731292517006803,0.5958132045088567
