asset,target,phase,accuracy,f1_score
tesla,change_stockprice,phase1,0.46825396825396826,0.1728395061728395
tesla,change_stockprice,phase2,0.46511627906976744,0.3333333333333333
tesla,change_stockprice,phase3,0.4639175257731959,0.38095238095238093
tesla,change_stockprice,phase4,0.5151515151515151,0.0
tesla,change_stockprice,full,0.47880299251870323,0.6122448979591837
tesla,change_volume,phase1,0.5,0.5467625899280576
tesla,change_volume,phase2,0.5058139534883721,0.4785276073619632
tesla,change_volume,phase3,0.5154639175257731,0.17543859649122806
tesla,change_volume,phase4,0.6060606060606061,0.23529411764705882
tesla,change_volume,full,0.5012468827930174,0.46524064171123
tesla,change_volatility,phase1,0.5634920634920635,0.6206896551724138
tesla,change_volatility,phase2,0.5116279069767442,0.4084507042253521
tesla,change_volatility,phase3,0.5051546391752577,0.4
tesla,change_volatility,phase4,0.48484848484848486,0.0
tesla,change_volatility,full,0.5062344139650873,0.5638766519823789
sp500,change_stockprice,phase1,0.48412698412698413,0.4036697247706422
sp500,change_stockprice,phase2,0.4941860465116279,0.5583756345177665
sp500,change_stockprice,phase3,0.5463917525773195,0.6901408450704225
sp500,change_stockprice,phase4,0.5151515151515151,0.1111111111111111
sp500,change_stockprice,full,0.4937655860349127,0.48081841432225064
sp500,change_volume,phase1,0.5634920634920635,0.46601941747572817
sp500,change_volume,phase2,0.5174418604651163,0.5146198830409356
sp500,change_volume,phase3,0.5463917525773195,0.5849056603773585
sp500,change_volume,phase4,0.42424242424242425,0.24
sp500,change_volume,full,0.5336658354114713,0.479108635097493
sp500,change_volatility,phase1,0.4365079365079365,0.3364485981308411
sp500,change_volatility,phase2,0.563953488372093,0.5664739884393064
sp500,change_volatility,phase3,0.5670103092783505,0.5434782608695652
sp500,change_volatility,phase4,0.5151515151515151,0.6521739130434783
sp500,change_volatility,full,0.5062344139650873,0.5330188679245284
nasdaq,change_stockprice,phase1,0.6111111111111112,0.7487179487179487
nasdaq,change_stockprice,phase2,0.5,0.5274725274725275
nasdaq,change_stockprice,phase3,0.44329896907216493,0.35714285714285715
nasdaq,change_stockprice,phase4,0.36363636363636365,0.08695652173913043
nasdaq,change_stockprice,full,0.57356608478803,0.6907775768535263
nasdaq,change_volume,phase1,0.5634920634920635,0.4444444444444444
nasdaq,change_volume,phase2,0.5755813953488372,0.5875706214689266
nasdaq,change_volume,phase3,0.4948453608247423,0.5420560747663551
nasdaq,change_volume,phase4,0.5151515151515151,0.0
nasdaq,change_volume,full,0.4613466334164589,0.5113122171945701
nasdaq,change_volatility,phase1,0.46825396825396826,0.37383177570093457
nasdaq,change_volatility,phase2,0.5348837209302325,0.6296296296296297
nasdaq,change_volatility,phase3,0.5463917525773195,0.5319148936170213
nasdaq,change_volatility,phase4,0.42424242424242425,0.09523809523809523
nasdaq,change_volatility,full,0.513715710723192,0.6107784431137725
bitcoin,change_stockprice,phase1,0.5793650793650794,0.6580645161290323
bitcoin,change_stockprice,phase2,0.436046511627907,0.44571428571428573
bitcoin,change_stockprice,phase3,0.4845360824742268,0.1935483870967742
bitcoin,change_stockprice,phase4,0.5151515151515151,0.0
bitcoin,change_stockprice,full,0.47381546134663344,0.517162471395881
bitcoin,change_volume,phase1,0.42857142857142855,0.02702702702702703
bitcoin,change_volume,phase2,0.627906976744186,0.6483516483516484
bitcoin,change_volume,phase3,0.6597938144329897,0.6732673267326733
bitcoin,change_volume,phase4,0.5757575757575758,0.6956521739130435
bitcoin,change_volume,full,0.5935162094763092,0.5744125326370757
bitcoin,change_volatility,phase1,0.5,0.6631016042780749
bitcoin,change_volatility,phase2,0.48255813953488375,0.36879432624113473
bitcoin,change_volatility,phase3,0.4536082474226804,0.15873015873015872
bitcoin,change_volatility,phase4,0.5454545454545454,0.6808510638297872
bitcoin,change_volatility,full,0.5236907730673317,0.5707865168539326
